nom,Siren
#DOT:DOT,903 206 761
1KM A PIED,850487273
1LIFE GROUP,791143795
2EMOTION,511423899
2IS (INBOUND INTELLIGENCE SOLUTIONS),892195561
3 C EVOLUTION,429771363
30 MILLE OOVOOM,889500021
360 SMART CONNECT,805387461
360PLAYER.IO,823370144
3D AEROSPACE,840657068
3D MEDLAB,828603654
3D SOUND LABS,799927371
3DCERAM SINTO,435266598
3DEFRANCE&CO,884254525
3DEUS DYNAMICS,890216609
3W ACADEMY,754047702
404WORKS,500704879
4DVIEWS,500704879
4P PHARMA,804204071
6 FREEDOM,849911987
7HUGS LABS,799970538
A FOND GASTON,840605091
A2 PHOTONIC SENSORS,499011435
A2IM - ROBOTADIVISORS,833258437
A3BC GROUP,839604576
A3D - L'ATELIER NUMERIQUE,802736819
AAVLIFE,799863873
AB TASTY,518685540
ABIONYX PHARMA (EX-CERENIS),481637718
ABLA ANALYTICS,892049479
ABOLERIS PHARMA,879302800
ABSOLUT SYSTEM,521646216
ACCES INCLUSIVE TECH,822001665
ACSIEL ALLIANCE ÉLECTRONIQUE,798778965
ACTEMIUM LILLE DIGITAL SOLUTIONS,537934192
ACTIS ERGONOMIE ET PERFORMANCES,493350219
ACTIVUS GROUP,815357769
ACUITY DATA,837669639
AD CERTIFICATION,982786204
AD YOU LIKE,531651792
AD'OCC,839117611
ADANAM TECHNOLOGY,538575002
ADDITIVE 3D,803739085
ADDOCK,451500268
ADEME XD MOBILITÉ,385290309
ADLOOP,798412979
ADMO.TV,533565040
ADOBIS GROUP,798785283
ADOTMOB,801618989
ADS ON BOARD,828044180
ADVANCED ACCELERATOR APPLICATIONS,441417110
ADVANCED AERODYNAMIC VESSELS,793570243
ADVANCED MAGNETIC INTERACTION, AMI,800394926
ADVANCED PERFUSION DIAGNOSTICS,752995225
ADVERUM BIOTECHNOLOGIES,799863873
ADVICENNE PHARMA,497587089
ADVIZEO BY SETEC,808452833
AEONX AI,831122338
AERIAL COBOTICUS,811293547
AEROSPACE VALLEY,484284526
AF83,434409504
AFFILAE,750845208
AGE IMPULSE,883606253
AGENCE ZOL,440772697
AGIGA PLACE,884585324
AGIL TECHNOLOGIES,794330845
AGILEO AUTOMATION,520941485
AGORA CALYCÉ,799736764
AGORA OPINION | TAQT,534232558
AGORA SOFTWARE,501502827
AGORAPLUS,480170885
AGRIFIND GROUP,834859647
AHEAD TECHNOLOGY,488101858
AIA HANDICAP,939098034
AII – AUTOMATISME ET INFORMATIQUE INDUSTRIELLE,323681049
AIPHONIA,404566093
AIR LIQUIDE,314119504
AIR SERENITY,752935791
AIRBUS CYBERSECURITY,523941037
AIRCAPTIF,832753297
AIS BIOTECH,950788182
AJ INVEST & CONSULTING,903002376
AJR MULTI SERVICES,848317657
ALBERTINE EN CONSIGNE,848917449
ALBUS FACTORY,980861009
ALENTIS THERAPEUTICS,851424929
ALERTGASOIL™,511118333
ALFRED MEETING,822744900
ALGO PAINT,812243327
ALKION BIOPHARMA,828176784
ALL VIRTUAL,822505608
ALLERGEN ALERT,934975475
ALLOVOISINS,792209967
ALLPRIV,833146947
ALLTRACKS ENGINEERING,949845705
ALLURE SYSTEMS,752946855
ALMB GROUP,899149470
ALP VALLEY,908315203
ALPES RECRUTEMENT,908316706
ALPHA FLORA,853195626
ALPHA MOS,389274846
ALPINOV X,828812735
ALTA VOCE,881655005
ALTEA CONSEIL,930401526
ALTER WAY,490932308
ALTERFINA,514951490
ALTO SOLUTION,838064665
ALTOSPAM,442462040
ALTRNATIV,884983958
ALVEOS EV,849162490
AMAZING.DEV,849115944
AMBASSADORSLAB,424468114
AMBER ENERGY,911537538
AMBLER,840859300
AMIRAL TECHNOLOGIES,839798451
AMJE PARIS,429401961
AMOLYT PHARMA,803919729
AMS R&D,482942687
ANANKÉ,952605970
ANAPIX MEDICAL,821168119
ANDJARO,
ANGEL ASSISTANCE,794960013
ANGUS AI,810796953
ANOTHERBRAIN,827693466
ANOZR WAY,848675120
APEC / ASSOCIATION POUR L'EMPLOI DES CADRES,
APEX ENERGIES,382499499
APITOUR,
APIX ANALYTICS,803133933
APNEAL,
APOLLO BAY,840648125
APPALOOSA STORE,508928124
APPLE WIND NEW,532728946
APPLIDGET,512747676
APPLIED MATERIALS,385124862
APPLIED TECHNOLOGIES INTERNET,403261258
APPS HABITAT,848896106
APPS VELOCITY,798311833
APPSCHO,804804441
APPVIZER,794633347
APREX SOLUTIONS,833037161
AQUATECH INNOVATION,841645815
AR TECHNOLOGIES,981519283
ARAÏKO,890872039
