url;name;logo;creation_year;employees;tags;description;site;social_links;business_model;region;department;city;presence;amount_raised;investors_count;round_max;investments
https://lehub.web.bpifrance.fr/startup/antidot?queryID=b629785bca7aea63157dc6a8466d082c;ANTIDOT;https://upload.prd.hbd.cloud.bpifrance.fr/awsS3-assets/Startup_Logo/H1xaErd_G.jpg;2007;25 - 100;#antidot;"ANTIDOT est une éditeur logiciel spécialisé dans l'accès à l'information (moteur de recherche, analyse et enrichissement des contenus).

#bigdata #API #AI";;[];B2B;Auvergne-rhône-alpes;Rhône;Lyon;France, États-Unis;7,5M€;7;Séries A;"[{""date"": ""janvier 2019"", ""amount"": ""5M€"", ""round"": ""Séries A"", ""investors"": ""Ventech,CM-CIC Innovation,...""}, {""date"": ""février 2011"", ""amount"": ""3,5M$"", ""round"": ""Seed"", ""investors"": ""Ventech,CM-CIC Capital Prive,...""}]"
https://lehub.web.bpifrance.fr/startup/finamatic-1?queryID=60a6f3e76f80a0f1d0e74a9363e2e4c8;Finamatic;https://upload.prd.hbd.cloud.bpifrance.fr/awsS3-assets/Startup_Logo/rk_M5P4PM.jpg;2015;1;#Financial Services, #FinTech, #innovation;Platform for identifying financing support schemes and accompanying the creation of dossiers;;"[{""type"": ""linkedin"", ""url"": ""https://www.linkedin.com/company/finamatic""}, {""type"": ""twitter"", ""url"": ""https://twitter.com/finamatic""}, {""type"": ""other"", ""url"": ""https://app.dealroom.co/companies/finamatic""}]";B2B, Saas;Île-de-france;Hauts-de-seine;Issy-les-moulineaux;France;800k€;5;ANGEL;"[{""date"": ""février 2017"", ""amount"": ""800k€"", ""round"": ""ANGEL"", ""investors"": ""Business Angels,Thierry Petit,Igor Schlumberger,...""}]"
https://lehub.web.bpifrance.fr/startup/asterion-vr?queryID=945f4e05d15b70e049fc3e35cdae73c1;ASTERION VR;https://upload.prd.hbd.cloud.bpifrance.fr/startup_logo/9c8a0ca8-db31-4206-86f6-98d91b9dd65f;2016;1;;"Conception de logiciels et de matériels (Virtual CQB ModulMaze) XR Technologies (Réalité Virtuelle, Réalité Augmentée...) pour l'entrainement des Forces Spéciales Polices et des Armées. Développement de systèmes de Tracking de position hybridés pour la VR et de systèmes d'intelligence Artificielle émotionnelle EAI pour les environnements de Simulation. Département Entertainment, produits ""VR Maze"" développé avec UBISOFT et distribué sous licence par TRIOTECH Canada.";http://www.asterionvr.com;"[{""type"": ""linkedin"", ""url"": ""https://www.linkedin.com/company/asterionvr/""}, {""type"": ""twitter"", ""url"": ""https://twitter.com/asterion_vr""}, {""type"": ""facebook"", ""url"": ""https://www.facebook.com/asterionvr/""}]";B2B, B2C;Bretagne;Ille-et-vilaine;Montgermont;Arabie Saoudite, Bolivie, Canada, France, Inde, Pérou;150k€;0;Amorçage;"[{""date"": ""juillet 2016"", ""amount"": ""150k€"", ""round"": ""Amorçage"", ""investors"": """"}]"
https://lehub.web.bpifrance.fr/startup/botify?queryID=b629785bca7aea63157dc6a8466d082c;Botify;https://upload.prd.hbd.cloud.bpifrance.fr/startup_logo/4fa29f12-76b2-42b3-8645-dcbdf0d2ecb4;2010;;#SEO, #SaaS, #Software, #data, #solutions, #book, #demo, #botify, #seo;Suite d’outils dédiée à l’automatisation et à la simplification des activités d’optimisation du SEO des sites web, pour en augmenter leur trafic organique, social et mobile. Ils permettent d’analyser en profondeur chaque site web, d’unifier l’ensemble des;https://www.botify.com/;[];B2B, Saas;Île-de-france;Paris;Paris;France, Royaume-Uni, Singapour, États-Unis;70,1M€;5;Séries C;"[{""date"": ""septembre 2021"", ""amount"": ""55M$"", ""round"": ""Séries C"", ""investors"": ""Ventech,Bpifrance Investissement,...""}, {""date"": ""février 2019"", ""amount"": ""20M$"", ""round"": ""Séries B"", ""investors"": ""Ventech,Idinvest Partners,""}, {""date"": ""février 2016"", ""amount"": ""7,2M$"", ""round"": ""Séries A"", ""investors"": ""Ventech,Idinvest Partners,""}]"
https://lehub.web.bpifrance.fr/startup/akeneo?queryID=b629785bca7aea63157dc6a8466d082c;AKENEO;https://upload.prd.hbd.cloud.bpifrance.fr/342ccd7a-ecc5-4714-af73-5d9aa152dd10.png;2013;+250;#E-Commerce, #Product Management, #Software, #akeneo, #akeneopim;"Solutions PIM et Product Data Intelligence au service de vos stratégies de vente omnicanales
et internationales.";;[];B2B;Pays de la loire;Loire-atlantique;Nantes;France, États-Unis;181,5M€;8;Séries D;"[{""date"": ""mars 2022"", ""amount"": ""135M$"", ""round"": ""Séries D"", ""investors"": ""Alven,Partech,Summit Partners,""}, {""date"": ""septembre 2019"", ""amount"": ""46M$"", ""round"": ""Séries C"", ""investors"": ""Alven Capital,Salesforce Ventures,...""}, {""date"": ""décembre 2018"", ""amount"": ""0$"", ""round"": ""EARLY VC"", ""investors"": ""Salesforce Ventures,""}, {""date"": ""avril 2017"", ""amount"": ""11,8M€"", ""round"": ""Séries B"", ""investors"": ""Alven Capital,Partech Ventures,...""}, {""date"": ""octobre 2014"", ""amount"": ""2,4M$"", ""round"": ""EARLY VC"", ""investors"": ""Alven Capital,Kima Ventures,Alven,""}, {""date"": ""juillet 2013"", ""amount"": ""100k€"", ""round"": ""Seed"", ""investors"": ""Kima Ventures,""}]"
https://lehub.web.bpifrance.fr/startup/naio-technologies?queryID=b629785bca7aea63157dc6a8466d082c;Naio Technologies;https://upload.prd.hbd.cloud.bpifrance.fr/91d8355e-fe83-4286-8c78-5084b532ffde;2014;25 - 100;#Robotics, #Agriculture, #Farming, #innovation, #naïo, #weeding, #agricoles, #agriculture, #technologies, #robot, #désherbage;Développement de robots électriques agricoles capables de désherber mécaniquement des cultures (principalement légumes et vignes pour le moment), permettant ainsi une substitution partielle ou totale des intrants chimiques, ainsi qu’une amélioration de la;http://naio-technologies.com;"[{""type"": ""other"", ""url"": ""https://app.dealroom.co/companies/na_o_technologies""}, {""type"": ""twitter"", ""url"": ""https://twitter.com/naiotech""}, {""type"": ""other"", ""url"": ""https://app.dealroom.co/companies/na_o_technologies""}, {""type"": ""other"", ""url"": ""https://www.naio-technologies.com/espace-presse/""}]";B2B;Occitanie;Haute-garonne;Escalquens;France;57,2M€;14;LATE VC;"[{""date"": ""décembre 2022"", ""amount"": ""32M€"", ""round"": ""LATE VC"", ""investors"": ""CapAgro,Ecotechnology Fund,...""}, {""date"": ""janvier 2020"", ""amount"": ""14M€"", ""round"": ""Séries B"", ""investors"": ""CapAgro,Demeter Partners,...""}, {""date"": ""novembre 2018"", ""amount"": ""2,5M€"", ""round"": ""EARLY VC"", ""investors"": ""CapAgro,Demeter Partners,""}, {""date"": ""décembre 2017"", ""amount"": ""2M€"", ""round"": ""EARLY VC"", ""investors"": ""Wiseed,CapAgro,Demeter Partners,...""}, {""date"": ""janvier 2016"", ""amount"": ""3,7M$"", ""round"": ""LATE VC"", ""investors"": ""Wiseed,Emertec Gestion,CapAgro,""}, {""date"": ""décembre 2015"", ""amount"": ""3,2M$"", ""round"": ""Seed"", ""investors"": ""Wiseed,Emertec Gestion,CapAgro,""}, {""date"": ""octobre 2014"", ""amount"": ""500k€"", ""round"": ""Seed"", ""investors"": """"}]"
https://lehub.web.bpifrance.fr/startup/transition-one-1?queryID=945f4e05d15b70e049fc3e35cdae73c1;TRANSITION-ONE;https://upload.prd.hbd.cloud.bpifrance.fr/startup_logo/3043c4aa-f412-459e-840c-96f36c5c4152;2018;1;;Converts/retrofits thermal car into a modern car: electric, connected and affordable;https://transition-one.fr/;"[{""type"": ""linkedin"", ""url"": ""https://www.linkedin.com/company/transition-one""}, {""type"": ""twitter"", ""url"": ""https://twitter.com/transition_one""}, {""type"": ""facebook"", ""url"": ""https://www.facebook.com/transition.one.fr""}, {""type"": ""other"", ""url"": ""https://blog.transition-one.fr/blog""}]";B2B, B2C;Centre-val de loire;Loiret;Orléans;France;50k€;1;Seed;"[{""date"": ""février 2022"", ""amount"": ""50k€"", ""round"": ""Seed"", ""investors"": ""EIT Urban Mobility,""}]"
https://lehub.web.bpifrance.fr/startup/h4d?queryID=3da18c2c0e4254564b15c004ad4bb08d;H4D;https://upload.prd.hbd.cloud.bpifrance.fr/58f4d389-1961-4215-9fca-688bc14813d5;2008;25 - 100;#Health Care, #télémédecine;Station connectée pour réaliser des téléconsultation médicale et qui offre une alternative pertinente lorsqu’une consultation traditionnelle n’est pas possible, permettant un service médical utile, étendu et professionnel;https://www.h4d.com/;"[{""type"": ""other"", ""url"": ""https://app.dealroom.co/companies/h4d""}, {""type"": ""other"", ""url"": ""https://app.dealroom.co/companies/h4d""}, {""type"": ""other"", ""url"": ""https://www.h-4-d.com/category/blog/""}]";B2B;Île-de-france;Paris;Paris;France;21,7M€;10;LATE VC;"[{""date"": ""juin 2020"", ""amount"": ""15M€"", ""round"": ""LATE VC"", ""investors"": ""LBO France,Supernova Invest,...""}, {""date"": ""octobre 2016"", ""amount"": ""6,7M€"", ""round"": ""Séries B"", ""investors"": ""Bpifrance Investissement,Innovation Capital,...""}, {""date"": ""juillet 2008"", ""amount"": ""0$"", ""round"": ""Non Spécifié"", ""investors"": ""Incubateur Impulse,""}]"
https://lehub.web.bpifrance.fr/startup/crowdloc-1?queryID=945f4e05d15b70e049fc3e35cdae73c1;Crowdloc;https://upload.prd.hbd.cloud.bpifrance.fr/awsS3-uploads/26f96815cfa15c52ece60bcdd54a532b;2016;1;;B2B software platform providing geolocation services;https://www.crowdloc.community/;"[{""type"": ""linkedin"", ""url"": ""https://www.linkedin.com/company/crowdloc/""}, {""type"": ""twitter"", ""url"": ""https://twitter.com/crowdloc""}, {""type"": ""other"", ""url"": ""https://app.dealroom.co/companies/crowdloc""}]";B2B, B2B2C, Saas;Île-de-france;Yvelines;Versailles;Allemagne, France;192,9k€;0;Seed;"[{""date"": ""février 2019"", ""amount"": ""49,5k€"", ""round"": ""Seed"", ""investors"": """"}, {""date"": ""juillet 2017"", ""amount"": ""162k$"", ""round"": ""EARLY VC"", ""investors"": """"}]"
https://lehub.web.bpifrance.fr/startup/geoconcept?queryID=3da18c2c0e4254564b15c004ad4bb08d;GEOCONCEPT;https://upload.prd.hbd.cloud.bpifrance.fr/awsS3-assets/Startup_Logo/rJcBAyw8z.jpeg;1990;;#data, #geomarketing;"GEOCONCEPT développe des solutions innovantes de géoptimisation à forte valeur ajoutée permettant d’intégrer l’intelligence géographique au sein des systèmes d’information.
Reconnu comme acteur majeur du Field Service Management et du Vehicle Routing & Scheduling par Gartner, GEOCONCEPT se positionne aujourd’hui parmi les leaders mondiaux des applications d’optimisation géographique pour les entreprises et optimise les déplacements quotidiens de plus de 150 000 ressources dans le monde.";https://fr.geoconcept.com/;"[{""type"": ""linkedin"", ""url"": ""http://www.linkedin.com/company/geoconcept-group""}, {""type"": ""twitter"", ""url"": ""https://twitter.com/GEOCONCEPT""}, {""type"": ""facebook"", ""url"": ""https://facebook.com/269544798410""}]";B2B;Île-de-france;Hauts-de-seine;Bagneux;Chine, France, Inde, Suisse, États-Unis;5M€;2;Séries A;"[{""date"": ""octobre 2012"", ""amount"": ""5M€"", ""round"": ""Séries A"", ""investors"": ""Bpifrance Investissement,CM-CIC Capital Finance,""}]"
