url;name;logo;creation_year;employees;tags;description;site;social_links;business_model;region;department;city;presence;amount_raised;investors_count;round_max;investments
https://lehub.web.bpifrance.fr/startup/sacha?queryID=aeff82095e9b1b3cd85cf70edef9fe4c;SACHA;https://upload.prd.hbd.cloud.bpifrance.fr/bcb12c4f-59b4-4949-9953-e53ce028af5d.png;2022;2 - 5;#saas, #achats;"Boostez la performance de vos équipes Achats.
Solution pour définir, mettre en œuvre et mesurer l'impact de vos leviers stratégiques Achats.";https://www.sacha.software/;[];B2B;Centre-val de loire;Indre-et-loire;Tours;Belgique, France, Luxembourg, Suisse;;;;[]
https://lehub.web.bpifrance.fr/startup/kapsloc?queryID=0cb0b33a6ea31fa63d4df5962177815c;Kapsloc;https://upload.prd.hbd.cloud.bpifrance.fr/7de89186-2149-4408-ace4-4b011c03fd94.png;2023;5 - 10;#3D, #VR, #AR, #App, #Dev;"Kapsloc est une ESN qui réalise tous types de projets sur mesure, dans le but de fournir des services informatiques complexes et innovants : 
- Web (classique et three.js), API et logiciel
- Apps de visualisation 3D, en AR et VR
- Audits et conseils en Cybersécurité
- Outils pour la BI
Notre collaboration avec Scissors In The Plug, concepteur de jeux et films d'animation, nous permet de réaliser des outils de visualisations en VR hautement interactifs et dotés de graphismes de haute qualité.";https://kapsloc.com;"[{""type"": ""linkedin"", ""url"": ""https://www.linkedin.com/company/kapsloc/""}]";B2B, B2C, Saas;;;Cavignac;;;;;[]
https://lehub.web.bpifrance.fr/startup/rea-4?queryID=b8fc6c81ec291fbaeaab9015bbb19a72;REA;https://upload.prd.hbd.cloud.bpifrance.fr/9070ca8d-8a4e-4c70-b941-1506ced398ef.png;2018;2 - 5;#renovation, #chantier, #facturation;Logiciel de gestion et de suivi de chantier intuitif et complet pour les entreprises du bâtiment, les maîtres d'œuvres et les architectes.;https://www.rea-app.fr;[];B2B, Saas;Nouvelle-aquitaine;Charente-maritime;La rochelle;;;;;[]
https://lehub.web.bpifrance.fr/startup/connectilib?queryID=6fab5b7d686491629f02d4cd8252e8bd;CONNECTILIB;https://upload.prd.hbd.cloud.bpifrance.fr/c4a03a3d-0faf-49cc-a747-cc737749ccbd.jpg;2019;2 - 5;#beauty, #wellness, #small business, #TPE, #logiciel;CONNECTiLiB, met la haute technologie au service des indépendants de la beauté et du bien-être. Notre mission est de revaloriser l'indépendance et l'artisanat grâce à un espace dédié avec des solutions digitales intelligentes et innovantes.;;"[{""type"": ""linkedin"", ""url"": ""http://www.linkedin.com/in/rebecca-lopez-88985911a""}]";B2B2C, Freemium / Premium, Saas;Auvergne-rhône-alpes;Drôme;Valence;;412,9k€;1;EARLY VC;"[{""date"": ""février 2022"", ""amount"": ""440k$"", ""round"": ""EARLY VC"", ""investors"": ""Bpifrance,""}]"
https://lehub.web.bpifrance.fr/startup/rngy-power?queryID=981fd07b9082dcd6351fdb9246fe1a05;RNGY POWER;https://upload.prd.hbd.cloud.bpifrance.fr/f9676fdb-bd0d-4185-9d7a-4e01d463265b.jpg;2022;2 - 5;#Energie renouvelable EnR, #Eolien;"DEVELOPPEUR D’EQUIPEMENTS EOLIENS sur Eoliennes existantes :
   - Traitement acoustique,
   - Traitement préventif anti-fissuration des pales,
   - Traitement antivibratoire des mâts, nacelles, …
   - Interface filtrante Flotteur / Eolienne,
Développement d'une nouvelle génération d'éoliennes :
   - À performance augmentée (+ 25 % d'énergie),
   - À haute résistance (durée de vie x2),
   - Structures légères et amorties (Masse /2), 
   - Recyclable,
   - …";http://www.rngy-power.com;[];B2B;Occitanie;Haute-garonne;Seilh;France, Monde;;;;[]
https://lehub.web.bpifrance.fr/startup/dancr?queryID=6fab5b7d686491629f02d4cd8252e8bd;DANC.R;https://upload.prd.hbd.cloud.bpifrance.fr/96280199-16f2-4fd2-b57c-a1ddb2d4292d.png;2022;2 - 5;#Sport, #Culture, #Bien être, #Entraînement;DANC.R c'est une app d'entraînement pour les passionné-e-s de danse qui utilise la Markerless MOCAP pour comparer les mouvements des amateurs de danse à ceux des professionnels;;"[{""type"": ""linkedin"", ""url"": ""https://www.linkedin.com/company/dancr-app""}, {""type"": ""twitter"", ""url"": ""https://twitter.com/dancr_app""}]";B2C;Île-de-france;Paris;Paris;Monde;;;;[]
https://lehub.web.bpifrance.fr/startup/tim-industrie?queryID=388886be5456189a1232ca9febfea36e;TIM Industrie;https://upload.prd.hbd.cloud.bpifrance.fr/62d2d42b-163e-412c-8ab9-2746811d9282.png;2023;2 - 5;#Recrutement, #Compétences, #Industrie, #RSE, #Senior;"TIM Industrie, la prestation industrielle nouvelle génération.

TIM solutionne les problématiques de recrutement des industriels et soutien la réindustrialisation de nos territoires, en leur mettant à disposition les meilleurs compétences à moindre coût.

Nous développons un réseau national de champions et de spécialistes indépendants de l'industrie que nous orientons vers les besoins en compétences des territoires.";https://www.tim-industrie.fr/entreprises/;[];B2B;;;;France;;;;[]
https://lehub.web.bpifrance.fr/startup/molac-laurent-tuito?queryID=8ffc25caa36be360a1febd82be336400;Molac Laurent TUITO;https://upload.prd.hbd.cloud.bpifrance.fr/859ec617-9cec-4737-97dd-a3e8b3434e5c.jpg;2018;5 - 10;#RAG, #Text2Sql, #NLU, #AI, #voice;TUITO est un bureau d'étude en IA ayant développé une expertise pour la détection d'évènements sonores, le traitement de la parole et du langage naturel (NLU) avec des solutions avancées de text2sql et RAG.;https://www.tuito.fr/;[];B2B, B2B2C, Saas;Provence-alpes-côte d'azur;Bouches-du-rhône;La ciotat;Allemagne, Espagne, France, Italie, Royaume-Uni, États-Unis;;;;[]
https://lehub.web.bpifrance.fr/startup/lbpi-sas?queryID=d619c276841d6ec4e4f121511b19fc7f;LBPI SAS;https://upload.prd.hbd.cloud.bpifrance.fr/8145893d-a7bb-4150-8e84-a63d52f76d0b.png;2023;2 - 5;;Logical Business Process & Intelligence provides AI Optimised solutions to drive Efficient & Responsible Procurement;;"[{""type"": ""linkedin"", ""url"": ""http://linkedin.com/in/philippedegrossouvre/""}]";B2B, Saas;Île-de-france;Hauts-de-seine;Neuilly-sur-seine;Allemagne, Autriche, Belgique, Bulgarie, Danemark, Espagne, Finlande, France, Irlande, Islande, Italie, Luxembourg, Norvège, Pays-Bas, Pologne, Portugal, Roumanie, Royaume-Uni, République Tchèque, Singapour, Suisse, Suède;;;;[]
https://lehub.web.bpifrance.fr/startup/dancr?queryID=981fd07b9082dcd6351fdb9246fe1a05;DANC.R;https://upload.prd.hbd.cloud.bpifrance.fr/96280199-16f2-4fd2-b57c-a1ddb2d4292d.png;2022;2 - 5;#Sport, #Culture, #Bien être, #Entraînement;DANC.R c'est une app d'entraînement pour les passionné-e-s de danse qui utilise la Markerless MOCAP pour comparer les mouvements des amateurs de danse à ceux des professionnels;;"[{""type"": ""linkedin"", ""url"": ""https://www.linkedin.com/company/dancr-app""}, {""type"": ""twitter"", ""url"": ""https://twitter.com/dancr_app""}]";B2C;Île-de-france;Paris;Paris;Monde;;;;[]
