hashtag;name;name_link;amount;investors
#deeptech;Loft Orbital;https://www.maddyness.com/entreprise/loft-orbital/;170.0 M€;Tikehau Capital,, Bpifrance Large Venture,, Temasek,, Supernova Invest,, Tribeca Venture Partners
#deeptech;Bioptimus;https://www.maddyness.com/entreprise/bioptimus/;39.8 M€;Cathay Innovation,, Sofinnova Partners,, Bpifrance,, Andera Partners,, Hitachi Ventures,, Boom Capital Ventures,, Felix Capital
#medtech;Robeauté;https://www.maddyness.com/entreprise/robeaute/;27.0 M€;Plural,, Cherry Ventures,, Kindred Ventures,, LocalGlobe,, Think.Health,, APEX Ventures
#rh / management;Maki;https://www.maddyness.com/entreprise/maki/;26.0 M€;Blossom Capital,, DST,, Frst,, GFC,, Picus Capital
#cybersecurité;BforeAI;https://www.maddyness.com/entreprise/bfore-ai/;9.0 M€;Titanium Ventures,, SYN Ventures
#greentech;Leakmited;https://www.maddyness.com/entreprise/leakmited/;5.0 M€;Starquest Capital,, Banque des Territoires
;Evenizer;https://www.maddyness.com/entreprise/evenizer/;1.0 M€;Trail,, Calao Finance,, Family Ventures
#smart industry;Deephawk;https://www.maddyness.com/entreprise/deephawk/;1.0 M€;The Moon Venture
#IT;Kai KnowledgeAI;https://www.maddyness.com/entreprise/kai-knowledgeai/;600.0k€;Seed4Soft,, business angels
#proptech;Immoblade;https://www.maddyness.com/entreprise/immoblade/;550.0k€;business angels,, Sowefund
#divertissement / loisirs;Spliiit;https://www.maddyness.com/entreprise/spliiit/;500.0k€;Superprof
#tourisme;Toploc;https://www.maddyness.com/entreprise/toploc/;450.0k€;Bpifrance,, Réseau Entreprendre Haute-Savoie
