nom,description,logo,Date dernier financement,Série,Montant,LinkedIn,Contact,Date de création_x,Marché,Type d'organisme,SIREN,Activité principale,Tranche effectifs,market,employees,date de création,valeur_entreprise,financement,dernier_financement,mots_cles_def,site_web_def,adresse_def
KLAXOON,"Klaxoon is an all-in-one work collaboration platform for enterprises, delivering high levels of engagement for anyone, anywhere, remotely or on-site. With a unique range of 10 visual collaboration tools & services, Klaxoon empowers people to drive engagement in and beyond meetings, boost productivity and shape an innovative workspace.",https://storageprdv2inwink.blob.core.windows.net/1a2965b3-2132-40f9-983f-3f92a35743fe/951eae3d-2f0f-4cce-8dc8-78e8d4931ab31,,,,,,,,,511962219,58.29C,11,,,,,,,,['https://klaxoon.com/'],None
PITCHY,"Pitchy is a simplified online video editor for large companies. Easily create high-quality videos for your business and stay in control by producing personalized, high-impact content. Our mobile app & web platform will give you access to numerous features and AI to create the most impactful videos for all your use cases (presentations, interviews, social media, tutorials, event videos, animated infographics, storytelling etc. ). Our premium services give you regular follow-ups, expert advice, and video inspiration, alongside access to a wide range of video services.",https://storageprdv2inwink.blob.core.windows.net/1a2965b3-2132-40f9-983f-3f92a35743fe/8fd0ed10-4751-4523-a4ba-d38ea6504c9e1,,,,,,,,,799416011,62.01Z,21,,,,,,,,['https://vivatechnology.com/partners/www.pitchy.io'],PARIS
CONTENTSQUARE,"Contentsquare is a leading digital experience analytics platform that empowers businesses to understand and optimize the user experience across web, mobile, and app platforms. Its AI-powered platform provides rich and contextual insight into customer behaviors, feelings and intent — at every touchpoint in their journey — enabling businesses to build empathy and create lasting impact. More than 1,300 leading brands use Contentsquare to grow their business, deliver more customer happiness and move with greater agility in a constantly changing world. Its insights are used to optimize the experience on over 1.3 million websites worldwide.",https://storageprdv2inwink.blob.core.windows.net/1a2965b3-2132-40f9-983f-3f92a35743fe/68c6d21a-0b6b-467b-bf01-b51736e8d3fc1,,,,,,,,,833654320,64.20Z,Non disponible,,,,,,,,['https://contentsquare.com/'],PARIS
BRAINCUBE,"Braincube offers innovative digital solutions, backed by AI, that equip manufacturers with the data they need to support profits, people, and the planet. Over the past decade, we've partnered with more than 250 manufacturers to generate more than $10 billion in savings. Powering Profits: Achieve any industrial use case with on-demand insights that boost profits without compromising the well-being of your people or the planet. Elevating People: Equip your teams with actionable data to enhance efficiency and drive better business outcomes. It's all the data you have, with only the information you need. Scalable Sustainability: Drive sustainable improvements, reducing energy consumption, carbon emissions, and waste, all without sacrificing your bottom line. Never Compromise: Braincube empowers manufacturers to break free from conventional thinking. Our collective toolset fuels sustainable growth for your profits, your people, and the planet.",https://storageprdv2inwink.blob.core.windows.net/1a2965b3-2132-40f9-983f-3f92a35743fe/2151b504-33aa-40ce-99f1-dc9278acf4861,,,,,,,,,501759088,62.01Z,22,,,,,,,,['https://braincube.com/'],ISSOIRE
DEEPOMATIC,"Deepomatic is a pioneer in the field of First Time Right Automation. Our AI-based computer vision platform is designed for companies operating critical infrastructures who strive to apply their quality standard at scale and increase the First Time Right rate of their operations. By analyzing photos taken by field workers and providing them instant feedback on the conformity of their job, our platform automates quality control. It guarantees the conformity of the data documenting daily field jobs and allows to follow the state of the infrastructure over time to make informed decisions to operate and maintain it. Deepomatic serves leading international clients in sectors such as telecommunications, energy, hospitality and mobility. Nearly 20,000 field workers employed by Swisscom, CityFibre, Telefonica, Circet, and Unit-T use Deepomatic's solution every day, highly improving their productivity and efficiency on site. Our platform analyzes close to 1 million operations every month.",https://storageprdv2inwink.blob.core.windows.net/1a2965b3-2132-40f9-983f-3f92a35743fe/aa97f52e-9c68-4185-a9e7-47060a9dbdcf1,,,,,,,,,803489236,62.01Z,21,,,,,,,,['https://deepomatic.com/'],PARIS
DAVI,"DAVI AI provides Digital Employees with professional, behavioral, social, and emotional skills. Upgrade your LLMs with the most advanced European technology for generating Digital Employees to transform them into comprehensive collaborators, immediately available to enhance your productivity.",https://storageprdv2inwink.blob.core.windows.net/1a2965b3-2132-40f9-983f-3f92a35743fe/d567129a-9765-441d-b267-ff511cc792c31,,,,,,,,,433940194,58.29C,12,,,,,,,,['https://www.davi.ai/'],PUTEAUX
ENERGIENCY,"Energiency helps manufacturers to achieve new energy and CO2 savings quickly and sustainably, by leveraging existing data in real time, thanks to its innovative analysis technology combining human and artificial intelligence. Numerous industry leaders in the Food, Chemicals, Automotive and Materials sectors are already working with Energiency, a fast-growing company that has won 30 Innovation Awards, including the Solar Impulse Efficient Solution. With over 100 projects in all industrial sectors on 3 continents, Energiency has developed a methodology and know-how that enable manufacturers of all sizes, sectors and maturity levels to achieve new energy savings of up to 15%, with an ROI of less than 1 year.",https://storageprdv2inwink.blob.core.windows.net/1a2965b3-2132-40f9-983f-3f92a35743fe/cd151503-a086-498e-bc73-9acadc77adf31,,,,,,,,,792639098,58.29C,12,,,,,,,,['https://vivatechnology.com/partners/www.energiency.com'],RENNES
ANOZR WAY,"Today, 80% of cyberattacks exploit human vulnerabilities. ANOZR WAY offers a software platform to reduce the human attack surface of organizations. French software editor, pioneer company in people protection against cyber and fraud risks - solutions based on an automated, 100% proprietary, sovereign and RGPD compliant technology. Account and identity theft, fraud, social engineering, data theft... use the professional and private data of executives and employees exposed from social media to the dark web. To stop being an easy target, ANOZR WAY provides a complete platform for human risk management including audit, remediation, monitoring, alert.",https://storageprdv2inwink.blob.core.windows.net/1a2965b3-2132-40f9-983f-3f92a35743fe/48e0f529-9465-41c7-a593-f679f16d3f151,,,,,,,,,Non disponible,Non disponible,Non disponible,,,,,,,,['https://anozrway.com/'],CESSON-SÉVIGNÉ
DIAGRAMS TECHNOLOGIES,"DiagRAMS Technologies propose une solution de surveillance globale de tous les équipements industriels et permet d’anticiper les pannes et les dysfonctionnements même les plus discrets grâce à ses algorithmes propriétaires d’Intelligence Artificielle dédiés aux données industrielles. Né de la rencontre entre le monde de la recherche et de l’ingénierie industrielle, la solution DiagRAMS permet aux industriels d’augmenter la disponibilité de leurs équipements, de booster la performance de leurs process et de réduire les coûts liés à la maintenance, la qualité et la consommation énergétique. Avec son innovation, il devient possible d’analyser les données de production et de maintenance jusqu’ici sous-exploitées dans les usines pour suivre les conditions réelles d’utilisation des équipements sans avoir besoin de rajouter de nouveaux capteurs dédiés à la maintenance. Sa force ? Permettre aux industriels de débuter leur projet de maintenance prédictive en valorisant les données déjà présente",https://storageprdv2inwink.blob.core.windows.net/1a2965b3-2132-40f9-983f-3f92a35743fe/b3572139-080a-4555-988e-ee54955f31001,,,,,,,,,Non disponible,Non disponible,Non disponible,,,,,,,,['https://diagrams-technologies.com/'],LILLE
DIAGRAMS TECHNOLOGIES,"DiagRAMS Technologies propose une solution de surveillance globale de tous les équipements industriels et permet d’anticiper les pannes et les dysfonctionnements même les plus discrets grâce à ses algorithmes propriétaires d’Intelligence Artificielle dédiés aux données industrielles. Né de la rencontre entre le monde de la recherche et de l’ingénierie industrielle, la solution DiagRAMS permet aux industriels d’augmenter la disponibilité de leurs équipements, de booster la performance de leurs process et de réduire les coûts liés à la maintenance, la qualité et la consommation énergétique. Avec son innovation, il devient possible d’analyser les données de production et de maintenance jusqu’ici sous-exploitées dans les usines pour suivre les conditions réelles d’utilisation des équipements sans avoir besoin de rajouter de nouveaux capteurs dédiés à la maintenance. Sa force ? Permettre aux industriels de débuter leur projet de maintenance prédictive en valorisant les données déjà présente",https://storageprdv2inwink.blob.core.windows.net/1a2965b3-2132-40f9-983f-3f92a35743fe/11e6f23d-e214-4418-9722-daf10310b00c1,,,,,,,,,Non disponible,Non disponible,Non disponible,,,,,,,,['https://diagrams-technologies.com/'],LILLE
