nom,SIREN,Date de création,Denomination légale,Denomination usuelle,Activité principale,Tranche effectifs,Catégorie entreprise,État administratif
#DOT:DOT,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible
1001PHARMACIES,812052017,2015-06-09,THEFAMILY FOR 1001PHARMACIES,Non disponible,64.20Z,Non disponible,PME,Non disponible
100M,823095401,2016-09-30,100M,Non disponible,58.29A,Non disponible,Non disponible,Non disponible
10H11,531294296,2011-03-07,10H11,Non disponible,58.29C,02,PME,Non disponible
14H28,438157679,2001-06-01,14H28,Non disponible,73.11Z,11,PME,Non disponible
1KM A PIED,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible
1LIFE GROUP,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible
2CRSI,483784344,2005-07-27,2CRSI,2CRSI,70.22Z,21,PME,Non disponible
2EMOTION,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible
2IS (INBOUND INTELLIGENCE SOLUTIONS),Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible
2SPARK,531464261,2011-03-28,2SPARK,Non disponible,58.29C,Non disponible,PME,Non disponible
3 C EVOLUTION,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible
30 MILLE OOVOOM,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible
360 SMART CONNECT,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible
360LEARNING,512663733,2009-05-20,360LEARNING,Non disponible,70.22Z,32,PME,Non disponible
360PLAYER.IO,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible
365TALENTS,812215804,2015-05-26,365TALENTS,Non disponible,58.29C,21,PME,Non disponible
3D AEROSPACE,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible
3D MEDLAB,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible
3D SOUND LABS,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible
3D-OXIDES,509329082,2009-01-01,3D-OXIDES,Non disponible,71.20B,03,PME,Non disponible
3D4PRO,809552854,2015-02-10,3D4PRO,Non disponible,70.22Z,Non disponible,Non disponible,Non disponible
3DCELO,829577873,2017-04-01,3DCELO,Non disponible,32.50A,11,PME,Non disponible
3DCERAM SINTO,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible
3DEFRANCE&CO,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible
3DEUS DYNAMICS,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible
3DLYFE,802644773,2014-06-16,3DLYFE,Non disponible,77.33Z,Non disponible,PME,Non disponible
3DNATIVES,803086503,2014-06-03,3DNATIVES,Non disponible,63.11Z,11,PME,Non disponible
3DTRUST,819865445,2016-04-21,3DTRUST,Non disponible,71.12B,01,ETI,Non disponible
3W ACADEMY,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible
3WAYSTE,821723665,2016-07-26,3WAYSTE,Non disponible,72.19Z,02,PME,Non disponible
404WORKS,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible
45-8 ENERGY,530824374,2011-03-30,45,Non disponible,68.20B,Non disponible,Non disponible,Non disponible
