Nom,Lien,Description,Catégories,Website,LinkedIn,Adresse,Logo
3Deus Dynamics,https://exhibitors.ces.tech/8_0/exhibitor/exhibitor-details.cfm?exhid=001Pp00000g6mP8IAI,"3Deus Dynamics revolutionizes silicone additive manufacturing with its Dynamic Molding process. Specializing in custom solutions for aerospace and medical sectors, our technology enables the creation of innovative, complex, and functionalized parts with a high degree of design freedom, precision, scalability, and enhanced performance.","3D Printing, Startups",https://www.3deusdynamics.com/,https://www.linkedin.com/company/3deus-dynamics,"466 rue des Mercières Rillieux-La-Pape, Auve 69140
France",https://exhibitors.ces.tech/mys_shared/CES25/logos/001Pp00000g6mP8IAI.png
ABLATOM,https://exhibitors.ces.tech/8_0/exhibitor/exhibitor-details.cfm?exhid=001Pp00000g79hnIAA,"Since 2017, ABLATOM designs, manufactures, and delivers premium, tailor-made elemental chemical analysis solutions using LIBS technology (Laser-Induced Breakdown Spectroscopy). We offer real-time atomic-level material identification for R&D centers and industries, leveraging LIBS for unmatched precision.","Energy/Power, Enterprise, Imaging, Sourcing and Manufacturing, Startups",https://www.ablatom.com/en/,https://www.linkedin.com/company/11121102,"62 Boulevard Niels Bohr 0603076954 Villeurbanne, Rhon 69100
France",https://exhibitors.ces.tech/mys_shared/CES25/logos/001Pp00000g79hnIAA.png
ADOBIS GROUP,https://exhibitors.ces.tech/8_0/exhibitor/exhibitor-details.cfm?exhid=001Pp00000g7abFIAQ,"We help businesses harness their data with DataChain®, our agile and secure Data/AI platform. Collect, analyze, and visualize data for better decision-making. DataChain® offers a 360° view of your data assets, improves data quality, and enables the development of new applications. Full traceability, accessible to all, agile and adaptable.","Artificial Intelligence, Digital Health, Smart Cities, Startups",https://adobisgroup.fr/,https://www.linkedin.com/company/adobis-group,"305 rue aristide bergés Montbonnot Saint Martin, 38330
France",https://exhibitors.ces.tech/mys_shared/CES25/logos/001Pp00000g7abFIAQ.jpg
Aerleum,https://exhibitors.ces.tech/8_0/exhibitor/exhibitor-details.cfm?exhid=001Pp00000oKnNzIAK,"Aerleum develops technology to produce sustainable fuels and chemicals from CO2 captured directly from air. Our goal: provide cost-competitive alternatives to fossil fuels, enabling decarbonization of maritime, aviation, and chemical industries.","Energy Transition, Energy/Power, Startups, Supply and Logistics, Sustainability",https://www.aerleum.com/,https://www.linkedin.com/company/aerleum/,"18 Rue d’Orbey Strasbourg, - 67100
France",https://exhibitors.ces.tech/mys_shared/CES25/logos/001Pp00000oKnNzIAK.png
AGE IMPULSE,https://exhibitors.ces.tech/8_0/exhibitor/exhibitor-details.cfm?exhid=001Pp000002qokLIAQ,Age Impulse presents Gaitwin® its Digital Twin. A cutting-edge B2B wearable powered by AI: • AgeTech: assess the risk of falling in just 15 sec. Identify as well deficient gait markers that need improvement and help reinforce autonomy and enjoy longevity • SportsTech: train like a professional at all ages to exercise effectively & safely,"Digital Health, Fitness, Sports, Startups",https://age-impulse.com/en/,https://fr.linkedin.com/company/age-impulse,"54, rue Molière Paris Area, 94200
France",https://exhibitors.ces.tech/mys_shared/CES25/logos/001Pp000002qokLIAQ.png
AgfaPhoto,https://exhibitors.ces.tech/8_0/exhibitor/exhibitor-details.cfm?exhid=0014V00003wZBVHQA4,"Since 1867, AgfaPhoto has been a constant innovator for consumer imaging products worldwide. Today we provide a wide range of products for capturing, processing, printing, storing and sharing pictures and memories under the brand name of AgfaPhoto, which enable and encourage people to share the little things that make life special.","Imaging, Video",https://gtcompany.fr/en/,Non disponible,"5 Rue de la Galmy Chessy, 77700
France",https://exhibitors.ces.tech/mys_shared/CES25/logos/0014V00003wZBVHQA4.png
AGIGA PLACE,https://exhibitors.ces.tech/8_0/exhibitor/exhibitor-details.cfm?exhid=001Pp00000g7aGIIAY,AGIGA is the first circular economy platform for electronic components dedicated to the industry. The French start-up is a mission-driven company founded in 2020 that aims to limit electronic component waste. Its ethical purpose is based on a transparent model that connects industrials.,"Retail/E-Commerce, Sourcing and Manufacturing, Startups, Supply and Logistics, Sustainability",https://agiga.net/,https://www.linkedin.com/company/agiga/,"152 RUE DE LA PAIX VILLEFRANCHE SUR SAONE, Auve 69400
France",https://exhibitors.ces.tech/mys_shared/CES25/logos/001Pp00000g7aGIIAY.png
Aiphonia,https://exhibitors.ces.tech/8_0/exhibitor/exhibitor-details.cfm?exhid=001Pp00000mu2YDIAY,"Aiphonia by Skyted is leader in silent calls & resilient connectivity for : - Voice impaired people, to help with their speech, - Hybrid workers who wants to handle a call from their seat in mobility ( planes and trains ), - Perfect patented ecosystem to reduce voice pollution in open spaces.","Accessibility, Audio, Digital Health, Lifestyle, Startups",https://aiphonia.io/,https://www.linkedin.com/company/skyted/,"231 Rue Pierre Et Marie Curie labège, - 31670
France",https://exhibitors.ces.tech/mys_shared/CES25/logos/001Pp00000mu2YDIAY.png
Akidaia,https://exhibitors.ces.tech/8_0/exhibitor/exhibitor-details.cfm?exhid=0014V00003Q366qQAB,"""Offline access control"" is a CES 2024 Innovation award honoree. By decentralizing access rights, Akidaia eliminates heavy & expensive infrastructure, protects your access points from cyberthreats, provides security for temporary or isolated locations. The Akidaia patented technology introduces new applications in access control industry","Cybersecurity, IoT/Sensors, Smart Cities, Smart Home and Appliances, Startups",https://akidaia.com/,https://www.linkedin.com/company/akidaia,"214 Boulevard du Mercantour Nice, Régi 06200
France",https://exhibitors.ces.tech/mys_shared/CES25/logos/0014V00003Q366qQAB.jpg
Aledia,https://exhibitors.ces.tech/8_0/exhibitor/exhibitor-details.cfm?exhid=001Pp00000iklKOIAY,"Aledia, an innovative startup company, develops microLEDs based on 3D nanowires and silicon. Its technology offers exceptional brightness, low energy consumption, and precise color accuracy. It is adaptable to portable screens, virtual and augmented reality, as well as automotive displays.","AR/VR/XR, Content and EntertaInment, Home Entertainment and Office Hardware, Imaging, Vehicle Tech and Advanced Mobility",https://www.aledia.com/,https://www.linkedin.com/company/aledia/,"Rue des Lavières - ZAC du saut du moine Champagnier, Isèr 38800
France",https://exhibitors.ces.tech/mys_shared/CES25/logos/001Pp00000iklKOIAY.jpg
