logo,nom,description,market,employees,date de création,valeur_entreprise,financement,adresse,dernier_financement,mots_cles_ft
https://storage.googleapis.com/dealroom-images-production/74/NzQ6NzQ6Y29tcGFueUBzMy1ldS13ZXN0LTEuYW1hem9uYXdzLmNvbS9kZWFscm9vbS1pbWFnZXMvMjAyNS8wMS8wNi9kNTZlZGMyZjk0MWUxNjAxNmI2MGRlZGFmMGUwMWQzZQ==.png,Verkor,A company that promotes the deployment of renewable energies by designing and manufacturing low-carbon batteries for the European market,B2B,501-1000 employees,Jul 2020,€3.4—5.1b,€1.9b,"Grenoble, France",€1.3b DEBT,"['deep tech', 'manufacturing', 'selling own inventory', 'vehicle production', 'hardware', 'transportation', 'energy storage', 'energy']"
https://storage.googleapis.com/dealroom-images-production/24/NzQ6NzQ6Y29tcGFueUBzMy1ldS13ZXN0LTEuYW1hem9uYXdzLmNvbS9kZWFscm9vbS1pbWFnZXMvMjAyNS8wMi8wMy8xYzI4MGVlZmRhZDlhZTJjODdlYzg0YTgxZmRkMTQ4ZQ==.png,Newcleo,"Developing a new industrial standard of clean, safe and inexhaustible energy production from Nuclei",B2B,501-1000 employees,Mar 2021,€1.5b,€562m,"Paris, France",€135m SERIES A,"['deep tech', 'manufacturing', 'commission', 'hardware', 'energy', 'clean energy']"
https://storage.googleapis.com/dealroom-images-production/f3/NzQ6NzQ6Y29tcGFueUBzMy1ldS13ZXN0LTEuYW1hem9uYXdzLmNvbS9kZWFscm9vbS1pbWFnZXMvMjAyNS8wMS8yMi9kNzcwOTk1ZTNkODVhNzM3MGU5N2RjYTNjM2ZjMWVhOA==.png,Hugging Face,"An open-source and platform provider of machine learning technologies that allows users to build, train, and deploy art models using the reference open source in machine learning",B2B,201-500 employees,Apr 2016,€4.1b,€360m,"New York City, United States",N/A SERIES D,"['deep tech', 'natural language processing', 'marketplace & ecommerce', 'subscription', 'commission', 'artificial intelligence', 'machine learning', 'saas', 'advertising', 'enterprise software', 'media']"
https://storage.googleapis.com/dealroom-images-production/ef/NzQ6NzQ6Y29tcGFueUBzMy1ldS13ZXN0LTEuYW1hem9uYXdzLmNvbS9kZWFscm9vbS1pbWFnZXMvMjAyNC8xMi8yNy9jNTJiMWZjYWQxMDJhYzljMjAxYzI5NjJmYmQ0YjkyMw==.png,Pigment,The business planning platform for forward-thinking organizations,B2B,501-1000 employees,Sep 2019,€909m,€354m,"Paris, France",$145m SERIES D,"['financial management solutions', 'commission', 'artificial intelligence', 'saas', 'enterprise software', 'fintech']"
https://storage.googleapis.com/dealroom-images-production/26/NzQ6NzQ6Y29tcGFueUBzMy1ldS13ZXN0LTEuYW1hem9uYXdzLmNvbS9kZWFscm9vbS1pbWFnZXMvMjAyNS8wMS8wMi9hYjFjNDQyMzYyZTA2YWFhNWQ5NTBmYjU1NmM4ZjY2NA==.png,Bon Vivant,"A biotechnology company that uses precision fermentation to produce real dairy products, accessible to everyone",B2C,51-200 employees,Dec 2021,€58—87m,€20.0m,"Lyon, France",N/A SUPPORT PROGRAM,"['deep tech', 'manufacturing', 'selling own inventory', 'innovative food', 'hardware', 'food', 'sustainable development goals']"
https://storage.googleapis.com/dealroom-images-production/6a/NzQ6NzQ6Y29tcGFueUBzMy1ldS13ZXN0LTEuYW1hem9uYXdzLmNvbS9kZWFscm9vbS1pbWFnZXMvMjAyNS8wMS8zMS8yYzJmZDUzZmUxMTM5YTI5ZTg3OThmNGRjNTRlZTk2MQ==.png,HOMA GAMES,"Specialized in the publishing, user acquisition, and monetization of mobile games",B2B,501-1000 employees,Oct 2018,€364—545m,€149m,"Paris, France",$100m SERIES B,"['commission', 'saas', 'mobile app', 'gaming', 'media', 'publishing']"
https://storage.googleapis.com/dealroom-images-production/a4/NzQ6NzQ6Y29tcGFueUBzMy1ldS13ZXN0LTEuYW1hem9uYXdzLmNvbS9kZWFscm9vbS1pbWFnZXMvMjAyNS8wMS8wMS9iOWNlZTk3ZGJkY2ZiZDRkYWIxODBkZWFiNzNiYWEzYg==.png,Poolside AI,Building the world's most capable AI for software development to unlock developers' potential,B2B,51-200 employees,Jul 2023,€2.7b,€569m,"Paris, France",$500m SERIES B,"['deep tech', 'subscription', 'artificial intelligence', 'saas', 'B2C', 'enterprise software']"
https://storage.googleapis.com/dealroom-images-production/00/NzQ6NzQ6Y29tcGFueUBzMy1ldS13ZXN0LTEuYW1hem9uYXdzLmNvbS9kZWFscm9vbS1pbWFnZXMvMjAyNS8wMS8wMi8zYTM1MzM1MmZlMDJkN2JlNTYzMzUzMzYxNDIyNzhjNA==.png,Electra,A platform that provides charging stations Ultra fast for electric vehicles,B2B,201-500 employees,Jan 2021,€1.2—1.8b,€479m,"Paris, France",€304m SERIES B,"['manufacturing', 'commission', 'B2C', 'mobile app', 'hardware', 'transportation', 'energy storage', 'energy', 'maintenance']"
https://storage.googleapis.com/dealroom-images-production/11/NzQ6NzQ6Y29tcGFueUBzMy1ldS13ZXN0LTEuYW1hem9uYXdzLmNvbS9kZWFscm9vbS1pbWFnZXMvMjAyNS8wMS8wOS8zODFiMjgzNDg5ZmQ4NWUyZDdkYzFlYzdkNDEyMjUzZg==.png,mylight150,"High-performance solar panels and intelligent energy management with cloud-based battery storage, affordable green energy for home and businesses in France",B2B,201-500 employees,Feb 2014,€400—600m,€109m,"Jonage, France",€100m SERIES B,"['manufacturing', 'selling own inventory', 'saas', 'hardware', 'energy storage', 'energy', 'clean energy']"
https://storage.googleapis.com/dealroom-images-production/6d/NzQ6NzQ6Y29tcGFueUBzMy1ldS13ZXN0LTEuYW1hem9uYXdzLmNvbS9kZWFscm9vbS1pbWFnZXMvMjAyNS8wMS8xNy8xMjliODg3YjMxYjQ3MzUzZjMyNTg2ZDhhMTNhNGU2ZA==.png,Mistral AI,Developing the best generative AI models,B2B,201-500 employees,Apr 2023,€5.8b,€973m,"Paris, France",N/A GROWTH EQUITY VC,"['deep tech', 'subscription', 'artificial intelligence', 'saas', 'enterprise software']"
