name,description,website,city,development_level,looking_for,fundraising,link,Logo,Field_1,Field_2,Field_3
AG'EAU-VITAL,"* Réduction du volume des pesticides de 50%, grâce à la solubilité des produits pour les pesticides, sans altération du rendement. Avec le matériel, les agriculteurs disposent d’un Outil d’Aide à la Décision (OAD), qui leurs permet de connaître précisément la dose d’intrants phytosanitaires à utiliser, conformément aux recommandations des industriels, ajustée selon les données météo du jour et l’état des cultures (stade de la culture, pression maladies, insectes, etc…) * Water treatment unit and software, allowing a 50% reduction in pesticides in Agriculture, without loss of yield. With this equipment, farmers have access to a Decision Support Tool (DST), which enables them to know precisely the dose of phytosanitary inputs to use, in line with manufacturers' recommendations, adjusted according to the day's weather data and the state of the crop (crop stage, disease pressure, insects, etc.).",htts://ageauvital.com,BOURGES,,,,https://vivatechnology.com/partners/ageau-vital,https://storageprdv2inwink.blob.core.windows.net/1a2965b3-2132-40f9-983f-3f92a35743fe/3907b919-29eb-48c6-86ea-9fef65c272c61,Artificial Intelligence,Growth & Investment,
AGENCE FR DE REALITE VIRTUELLE,We increase your sales volume with virtual reality. We equip salesperson with headsets and programs. Our automated processes enable us to offer accessible prices to all businesses. Our Customers (Sales Representative) : Wineyards - Factories and Industries - Tourism Organization .... And all companies which want to increase their sales volume,https://www.lagencefrancaise.tech/,BORDEAUX - PARIS - MONTPELLIER,,,,https://vivatechnology.com/partners/agence-fr-de-realite-virtuelle,https://storageprdv2inwink.blob.core.windows.net/1a2965b3-2132-40f9-983f-3f92a35743fe/23b35bdb-bcf3-4088-b261-d8684a09976f1,B2B Services,Marketing & Advertising,XR & Metaverse
AGRI LAB LEVERAGE,"AGRI LAB LEVERAGE creates a new generation of antioxidants / acidifiers from the local upcycling of plant byproducts, to suppress additives (E300, E330, E296, E331) from your food products, meeting strong needs from end users and B2B customers. And a new business loop in the territories, creating value along the complete chain, from farmers to end consumers.",https://vivatechnology.com/partners/www.agrilablevergae.com,LYON,,,,https://vivatechnology.com/partners/agri-lab-leverage,https://storageprdv2inwink.blob.core.windows.net/1a2965b3-2132-40f9-983f-3f92a35743fe/828ca370-9755-4053-bf1d-40e651ff15c21,Food & Agriculture,,
ALPHA10X,"ALPHA10X provides a decision intelligence platform that private markets investors and advisors trust to generate alpha and impact. Harnessing the compute power of millions of analysts, our Nostradamus AI platform analyzes and monitors billions of investment related data points to shape highly salient knowledge, curate precise analytics, and predict the future with accuracy. Founded in 2018, with business headquarters in the UAE, R&D centers in France and Morocco, and offices in Luxembourg and the USA, the team of over 40 FTE’s includes prominent business leaders, data scientists, and scholars.",https://www.alpha10x.com/,AIX-EN-PROVENCE,GOING TO MARKET,"TALENTS, FUNDING",,https://vivatechnology.com/partners/alpha10x,https://storageprdv2inwink.blob.core.windows.net/1a2965b3-2132-40f9-983f-3f92a35743fe/2c79ecf1-212d-44b1-a321-870481bf4f411,Artificial Intelligence,"Fintech, Insurance & Legal",
ALTEVAX,"ALTEVAX develops an innovative and disruptive immunotherapy platform for the treatment of cancer. It is based on synthetic melanin, a non-toxic and versatile biopolymer adjuvant, that can be combined with a wide range of antigenic peptides for vaccine formulations. Melanin is a particularly powerful adjuvant inducing a specific immune response against the selected antigens that is more effective and faster than any current vaccine technology using emulsions, RNA or DNA as messenger vectors (proven in laboratory experiments). ALTEVAX lead program, a therapeutic vaccine against Glioblastoma, is based on the tumor-associated antigen TERT (from the telomerase complex). This tumor antigen has been successfully tested in phase 2 clinical trials (in combination with another adjuvant) with promising results in 2 different indications: Glioblastoma and Lung Cancer. The program is ready to go clinic with all necessary steps initiated. First patient is expected to be included in Q4 2024.",https://www.altevax.com/,PARIS,,,5.5M EUR€,https://vivatechnology.com/partners/altevax,https://storageprdv2inwink.blob.core.windows.net/1a2965b3-2132-40f9-983f-3f92a35743fe/78b1b4c3-0e61-49dd-b69b-eb6586925bd01,Artificial Intelligence,DeepTech,Healthcare & Wellness
ALTRANS Energies,"ALTRANS ENERGIES, start-up created in November 2020, is the fruit of more than fifteen years of research within the GIPSA-lab laboratory (Grenoble INP-UGA and CNRS) and in collaboration with the Institutes Carnot LSI and Energies du Futur . The innovation is based on quantum algorithms making allowing to finely identify early signs of faults in electrical cables, such as partial discharges, through their interference at the quantum level with a broadband waveform propagating in the network. The advanced algorithms allow a precise localization of the early signs as well as their classification o through an artificial intelligence approach based on the descriptors defined by the quantum metrics. Our technology allows autonomous, continuous and global monitoring of weaknesses in electrical networks. Thanks to this monitoring, it is therefore possible to accurately identify future failures in advance and it fully contributes to the objectives of predictive maintenance of power grids.",https://www.altransinnov.com/general-approach,GRENOBLE,GROWTH & SCALE,,,https://vivatechnology.com/partners/altrans-energies,https://storageprdv2inwink.blob.core.windows.net/1a2965b3-2132-40f9-983f-3f92a35743fe/0e033f9f-f8ce-4181-b881-e21b2cad66171,Artificial Intelligence,Energy,Growth & Investment
ALTYOR - STRATOS : MAKE IT! ACADEMY,"ALTYOR is an industrial manufacturer working for companies of all sizes, turning their high-tech or low-tech hardware innovation into sustainable high-quality products. Our services span eco-design to mass production, covering prototyping, sourcing, supply chain management, logistics, recycling, and refurbishing. Our customers’ products, ranging from industrial equipment to consumer devices, meet the highest standards with minimal environmental impact. Contact us at business@altyor.com. As part of our endeavour to support hardware innovation among start-ups, the Make It! academy combines Altyor's expertise in industrial strategy, processes and mastering of state-of-the-art technologies with the business and financial acumen of Groupe Stratos and their vast network of investors to fast-track access to financing in a 3-month excellence program.",https://makeit-academy.com/,ORLÉANS,STABLE BUSINESS,"TALENTS, FUNDING",,https://vivatechnology.com/partners/altyor-stratos-make-it-academy,https://storageprdv2inwink.blob.core.windows.net/1a2965b3-2132-40f9-983f-3f92a35743fe/54ba6445-264a-4156-9684-6887f480b6581,Artificial Intelligence,DeepTech,Growth & Investment
AM3L,"AM3L products are the result of a revisited and innovative use of metal 3D printing, conferring unique, tailor-made properties. By controlling the void, design and size of porous networks, these metamaterials allow to address issues such as shock protection, mass reduction, filtration and energy efficiency. To protect installations and equipment against impact, AM3L has developed groundbreaking 3D-architectured shock absorbers. These products have been qualified for nuclear waste storage, and provide in a lightweight, compact object the optimum energy absorption to preserve the integrity of containers in the event of a fall. With a finer scale of porous networks, AM3L’s innovation considerably broadens the range of possible applications for bio-based packaging and devices with cutting-edge 3D printed porous molds. They meet the industry's main challenges in terms of 3D shaping, esthetics and costs, boosting productivity and offering a sustainable alternative to plastic.",https://am3l.com/,ANTONY,,"TALENTS, FUNDING",,https://vivatechnology.com/partners/am3l,https://storageprdv2inwink.blob.core.windows.net/1a2965b3-2132-40f9-983f-3f92a35743fe/4dabda3c-1815-49f0-9d04-1d7e394d8f031,DeepTech,Energy,Space & Aeronautics
AMATELUS Inc.,"Our company has developed distribution software for volumetric video, free-viewpoint video, and multi-angle video. We have obtained an international patent for our unique distribution technology and offer it as a product called ""SwipeVideo."" We are expanding into industries such as entertainment, sports, technical education, EC, and events. A radical new form of video - with a simple swipe users can freely change their point of view (new xR) . Our product transfers‘switching rights’ from content holders to users.",https://swipevideo.jp/,TOKYO,GROWTH & SCALE,"TALENTS, FUNDING",,https://vivatechnology.com/partners/amatelus-inc,https://storageprdv2inwink.blob.core.windows.net/1a2965b3-2132-40f9-983f-3f92a35743fe/881540b7-4f3b-4281-a525-d7d2e85678631,Entertainment & Creators Economy,,
"AMD Products (China)Co.,Ltd.","Yongle Palace murals are the Chinese cultural heritage passed down from nearly 800 years ago. Over time, these magnificent murals gradually developed various defects such as fading colors, blurred lines, and damaged sections. In order to restore the former glory of these intricate murals by maestro painters from nearly 800 years ago in front of a modern audience, AMD, together with the Yongle Palace and excellent AI technology partners in China, utilized cutting-edge generative AI technology to repaint the damaged and missing sections of the murals on AMD AI PCs and workstation platforms. The team strived to faithfully restore the murals with high fidelity, making every detail come to life and every splash of color shine. In restoring the murals, we were leveraging technology to preserve cultural heritage and our intellect to protect history.",https://www.amd.com/,BEIJING CHINA,STABLE BUSINESS,,,https://vivatechnology.com/partners/amd-products-chinacoltd,https://storageprdv2inwink.blob.core.windows.net/1a2965b3-2132-40f9-983f-3f92a35743fe/e85c5428-c0b2-4a5f-a5cf-ed1a59cea89b41,Artificial Intelligence,,
