title,description,address,logo_url,website,category,url
WEFLO (BY TRANSWAY),Votre partenaire mobilité durable,"9 Rue du Petit Châtelier, Nantes",https://d3kqkuy1hpjocx.cloudfront.net/s3fs-public/styles/medium/public/logo_wf_2022.png,https://www.weflo.fr/?utm_source=LesPepitesTech.com,MOBILITÉ DURABLE,https://lespepitestech.com/startup-de-la-french-tech/weflo-transway
OIP SOLUTIONS,Réussissez votre transformation digitale et augmentez vos performances.,9 RUE NOTRE DAME DE LORETTE Paris,https://d3kqkuy1hpjocx.cloudfront.net/s3fs-public/styles/medium/public/logotype_oipsolutions2_hd_2017.jpg,https://www.oipsolutions.com/?utm_source=LesPepitesTech.com,APPLICATION,https://lespepitestech.com/startup-de-la-french-tech/oip-solutions
AUSSITÔT BON,La box repas cuisinée à basse température,"231 Rue Saint-Honoré, Paris",https://d3kqkuy1hpjocx.cloudfront.net/s3fs-public/styles/medium/public/logo_aussitotbon_baseline.png,https://aussitotbon.fr/?utm_source=LesPepitesTech.com,FOODTECH,https://lespepitestech.com/startup-de-la-french-tech/aussitot-bon
MYPE,"Laissez-nous automatiser vos flux de travail, vos feuilles de calcul, vos tâches administratives et vos opérations informatiques pour vous permettre de gagner du temps grâce aux algorithmes et aux meilleures technologies mises à votre disposition.",214 RUE DE LA CROIX NIVERT Paris,https://d3kqkuy1hpjocx.cloudfront.net/s3fs-public/styles/medium/public/logo_mype_1.png,https://www.mype-consulting.com/?utm_source=LesPepitesTech.com,ACHAT,https://lespepitestech.com/startup-de-la-french-tech/mype
SHIPPINGBO,"Shippingbo aide les e-commerçants multicanaux à conserver leurs niveaux d'inventaire précis, à rationaliser leurs opérations de préparation et à expédier leurs commandes à temps.",1244 L'OCCITANE Labège,https://d3kqkuy1hpjocx.cloudfront.net/s3fs-public/styles/medium/public/logo_shipping_dark.png,http://shippingbo.com/?utm_source=LesPepitesTech.com,LOGISTIQUE,https://lespepitestech.com/startup-de-la-french-tech/shippingbo
BIZZY,Outil de Lead Gen B2B,"Dok-Noord 4e/4, 9000 Gand, Belgique",https://d3kqkuy1hpjocx.cloudfront.net/s3fs-public/styles/medium/public/bizzy_blue.png,http://bizzy.org/?utm_source=LesPepitesTech.com,GÉNÉRATION DE LEADS,https://lespepitestech.com/startup-de-la-french-tech/bizzy
WATCHDO,"Nous sommes une application d'entraide communautaire qui utilise le tchat et la visio pour résoudre les problèmes de tous les jours que l'on rencontre comme par exemple dans le bricolage, le jardinage, l'informatique, l'administration, la cuisine, etc..","535 Route des Lucioles, Valbonne",https://d3kqkuy1hpjocx.cloudfront.net/s3fs-public/styles/medium/public/picsart_22-03-20_14-51-35-884_3.png,http://www.watchdo.fr/?utm_source=LesPepitesTech.com,ENTRAIDE,https://lespepitestech.com/startup-de-la-french-tech/watchdo
NONO,Le premier service de location de batteries portables pour smartphones entièrement gratuit,"5bis Villa Emile Bergerat, 92200 Neuilly-sur-Seine",https://d3kqkuy1hpjocx.cloudfront.net/s3fs-public/styles/medium/public/logo-nono.png,https://nono.services/?utm_source=LesPepitesTech.com,APPLICATION MOBILE,https://lespepitestech.com/startup-de-la-french-tech/nono
FOODERISE,Application FoodTech offrant une expérience utilisateur ultra-personnalisée.,"Tallinn, Estonie",https://d3kqkuy1hpjocx.cloudfront.net/s3fs-public/styles/medium/public/logo_244.png,https://www.fooderise.com/?utm_source=LesPepitesTech.com,API,https://lespepitestech.com/startup-de-la-french-tech/fooderise
MYTRIPCAR,Le premier comparateur de location de voitures honnête !,"Madrid, Espagne",https://d3kqkuy1hpjocx.cloudfront.net/s3fs-public/styles/medium/public/logo-transparent_1.png,https://mytripcar.fr/?utm_source=LesPepitesTech.com,ACCOMPAGNEMENT,https://lespepitestech.com/startup-de-la-french-tech/mytripcar
