financement_id,entreprise_id,Date dernier financement,Série,Montant_def,valeur_entreprise
1,1,,,,
2,2,,,116000000.0,€60—90m
3,3,,,,
4,4,,,2300000.0,€5—7m
5,5,,,4000000.0,€16—24m
6,6,,,,
7,7,,,,
8,8,,,8100000.0,€32—49m
9,9,,,,
10,10,,,1100000.0,€4—6m
11,11,,,,
12,12,,,100000.0,€400—600k
13,13,,,,
14,14,,,,
15,15,,,500000.0,€2—3m
16,16,,,,
17,17,,,,
18,18,,,,
19,19,,,1000000.0,€4—6m
20,20,,,,
21,21,,,,
22,22,,,,
23,23,,,,
24,24,,,,
25,25,,,,
26,26,,,,
27,27,,,,
28,28,,,,
29,29,,,81800000.0,
30,30,,,,
31,31,,,,
32,32,,,,
33,33,,,,
34,34,,,11000000.0,€40—60m
35,35,,,,
36,36,,,2400000.0,€4—7m
37,37,,,220000000.0,€727m—1.1b
38,38,,,,
39,39,,,340000.0,€720k—1m
40,40,,,12500000.0,€40—60m
41,41,,,,
42,42,,,,
43,43,,,,
44,44,,,1100000.0,€4—7m
45,45,,,,
46,46,,,,
47,47,,,,
48,48,,,,
49,49,,,,
50,50,,,,
51,51,,,2200000.0,€2—3m
52,52,,,,
53,53,,,13200000.0,€40—60m
54,54,,,,
55,55,,,,
56,56,,,1400000.0,€6—8m
57,57,,,,
58,58,,,,
59,59,,,6000000.0,€24—36m
60,60,,,700000.0,€3—4m
61,61,,,1400000.0,€6—8m
62,62,,,,
63,63,,,27500000.0,€80—120m
64,64,,,,
65,65,,,,
66,66,,,,
67,67,,,,
68,68,,,764000.0,
69,69,,,,
70,70,,,,
71,71,,,27400000.0,€110—164m
72,72,,,,
73,73,,,,
74,74,,,15000000.0,€60—90m
75,75,,,500000.0,
76,76,,,1900000.0,€6—9m
77,77,,,800000.0,€3—5m
78,78,,,,
79,79,,,,
80,80,,,2000000.0,€8—12m
81,81,,,,
82,82,,,,
83,83,,,,
84,84,,,,
85,85,,,929000.0,
86,86,,,,
87,87,,,3800000.0,
88,88,,,,
89,89,,,1000000.0,€4—6m
90,90,,,9100000.0,€36—55m
91,91,,,,
92,92,,,,
93,93,,,400000.0,€2—2m
94,94,,,,
95,95,,,,
96,96,,,1500000.0,€6—9m
97,97,,,31800000.0,€84—126m
98,98,,,,
99,99,,,,
100,100,,,,
101,101,,,,
102,102,,,1800000.0,
103,103,,,,
104,104,,,,
105,105,,,,
106,106,,,,
107,107,,,2000000.0,€6—9m
108,108,,,,
109,109,,,,
110,110,,,2700000.0,€11—16m
111,111,,,,
112,112,,,10900000.0,€44—65m
113,113,,,,€119m
114,114,,,57900000.0,€145—218m
115,115,,,,
116,116,,,,
117,117,,,,
118,118,,,4300000.0,€3—5m
119,119,,,,
120,120,,,600000.0,€2—4m
121,121,,,4000000.0,€12—18m
122,122,,,2400000.0,€10—14m
123,123,,,1700000.0,€6—9m
124,124,,,,
125,125,,,7000000.0,€20m
126,126,,,,
127,127,,,40000.0,
128,128,,,,
129,129,,,2000000.0,€8—12m
130,130,,,,
131,131,,,,
132,132,,,,
133,133,,,115000000.0,€42m
134,134,,,,
135,135,,,64000000.0,€204m
136,136,,,,
137,137,,,,
138,138,,,15400000.0,
139,139,,,29900000.0,€109—164m
140,140,,,36100000.0,€140—210m
141,141,,,,
142,142,,,200000.0,€800k—1m
143,143,,,1000000.0,€4—6m
144,144,,,,
145,145,,,,
146,146,,,,
147,147,,,7300000.0,€29—44m
148,148,,,,
149,149,,,3000000.0,€12—18m
150,150,,,2100000.0,€6—9m
151,151,,,,
152,152,,,2200000.0,
153,153,,,1200000.0,€5—7m
154,154,,,8200000.0,€11—16m
155,155,,,114000000.0,€432—648m
156,156,,,,
157,157,,,,
158,158,,,,
159,159,,,,
160,160,,,10000000.0,€40—60m
161,161,,,,
162,162,,,29000000.0,€116—174m
163,163,,,,
164,164,,,7000000.0,€28—42m
165,165,,,8500000.0,€28—42m
166,166,,,2000000.0,€8—12m
167,167,,,80000.0,
168,168,,,5000000.0,€20—30m
169,169,,,250000.0,
170,170,,,,
171,171,,,,
172,172,,,1400000.0,€4—5m
173,173,,,,
174,174,,,,
175,175,,,29100000.0,€28—42m
176,176,,,,
177,177,,,500000.0,€2—3m
178,178,,,110000000.0,€341m
179,179,,,2000000.0,€8—12m
180,180,,,3700000.0,€14—21m
181,181,,,855000.0,€2—3m
182,182,,,,
183,183,,,4000000.0,€16—24m
184,184,,,,
185,185,,,,
186,186,,,,
187,187,,,4100000.0,€17—25m
188,188,,,,
189,189,,,800000.0,€3—5m
190,190,,,,
191,191,,,,
192,192,,,,
193,193,,,,
194,194,,,,
195,195,,,,
196,196,,,2500000.0,€5—7m
197,197,,,50000.0,
198,198,,,,
199,199,,,5800000.0,€23—35m
200,200,,,9300000.0,€19—29m
201,201,,,400000.0,
202,202,,,,
203,203,,,2100000.0,€8—12m
