logo,page_french_tech,nom,description,market,field,mots_clé,mots_clé_2,mots_clé_3,mots_clé_4,mot_clé_5,employees,date de création,valeur_entreprise,financement,adresse,dernier_financement
https://storage.googleapis.com/dealroom-images-production/99/NzQ6NzQ6Y29tcGFueUBzMy1ldS13ZXN0LTEuYW1hem9uYXdzLmNvbS9kZWFscm9vbS1pbWFnZXMvMjAyNS8wMS8wMS9kNjdmZjUwY2UyYmJlZDdmMTcyOTI4MGJhOWZhOTJkNQ==.png,https://ecosystem.lafrenchtech.com/companies/simple_fr,+Simple,"An insurance Robo-Broker for freelancers, small and medium businesses",B2B,fintech,,insurance,,commission,marketplace & ecommerce,51-200 employees,2015,€60—90m,€116m,"Paris, France",€90.0m GROWTH EQUITY VC
https://storage.googleapis.com/dealroom-images-production/7c/NzQ6NzQ6Y29tcGFueUBzMy1ldS13ZXN0LTEuYW1hem9uYXdzLmNvbS9kZWFscm9vbS1pbWFnZXMvMjAyNS8wMS8wMy8yYmUzMjEyNjkyYjY3MmNlM2IwMTgwM2YzM2E0NGM2OQ==.png,https://ecosystem.lafrenchtech.com/companies/1889_,1889 Experience,Reinvent customer relations in luxury,B2C,home living,,,,,,11-50 employees,Jul 2015,€2—3m,€500k,"Paris, France",€500k ANGEL
https://storage.googleapis.com/dealroom-images-production/ba/NzQ6NzQ6Y29tcGFueUBzMy1ldS13ZXN0LTEuYW1hem9uYXdzLmNvbS9kZWFscm9vbS1pbWFnZXMvMjAyNC8wOS8xOC82ZTk2YWVlN2ZmYzAxNmVjYzhlNTg3OGQ4NTIzODc1Ng==.png,https://ecosystem.lafrenchtech.com/companies/360_medics,360 medics,Accompanies healthcare professionals in their quest for excellence in care by bringing together all the resources and tools useful for their daily practice,B2B,health,,health platform,,mobile app,subscription,11-50 employees,2013,€40—60m,€11.0m,"Lyon, France",€10.0m SERIES A
https://storage.googleapis.com/dealroom-images-production/34/NzQ6NzQ6Y29tcGFueUBzMy1ldS13ZXN0LTEuYW1hem9uYXdzLmNvbS9kZWFscm9vbS1pbWFnZXMvMjAyNS8wMS8xOC9kN2NhNGQ3NjhiZmJiZjEyMWVhMjBiZDg4MWVjZDA0Mg==.png,https://ecosystem.lafrenchtech.com/companies/360learning,360Learning,360Learning develops a collaborative learning solution to help companies unlock learning based on collective expertise,B2B,education,,education management,learning tools and resources,mobile app,subscription,201-500 employees,Feb 2013,€727m—1.1b,€220m,"New York City, United States",$200m LATE VC
https://storage.googleapis.com/dealroom-images-production/6e/NzQ6NzQ6Y29tcGFueUBzMy1ldS13ZXN0LTEuYW1hem9uYXdzLmNvbS9kZWFscm9vbS1pbWFnZXMvMjAyNS8wMS8wMS9mZGRjM2Y2NzBhOTk4MmUwMjE2OGVmNTc2YmNmYjJkYQ==.png,https://ecosystem.lafrenchtech.com/companies/360player_io_sixi_me_tage_sas_,360player.io (Sixième étage SAS),We make 360° pics easy to capture and display,B2C,,,,,big data,advertising,2-10 employees,Jun 2015,€720k—1m,€340k,"Paris, France",€180k SEED
https://storage.googleapis.com/dealroom-images-production/de/NzQ6NzQ6Y29tcGFueUBzMy1ldS13ZXN0LTEuYW1hem9uYXdzLmNvbS9kZWFscm9vbS1pbWFnZXMvMjAyNS8wMS8wNi9kYjFjMDFkYjE4OWY2NTViMzExZGUzODI1NTQ4MzZiMw==.png,https://ecosystem.lafrenchtech.com/companies/365talents,365Talents,"AI-powered talent management solution that simplifies workforce planning, staffing, and personalized career development",B2B,jobs recruitment,enterprise software,,,big data,artificial intelligence,51-200 employees,Jun 2015,€40—60m,€12.5m,"Lyon, France",€10.0m EARLY VC
https://storage.googleapis.com/dealroom-images-production/86/NzQ6NzQ6Y29tcGFueUBzMy1ldS13ZXN0LTEuYW1hem9uYXdzLmNvbS9kZWFscm9vbS1pbWFnZXMvMjAyNS8wMS8wNi8wNjhjYmUxNzI0MDk5YTQzMDI3ZjZlNjU0ODQxMWQ4Zg==.png,https://ecosystem.lafrenchtech.com/companies/3deusdynamics,3Deus Dynamics,3Deus Dynamics revolutionizes the manufacturing of high-performance soft materials and composites with its patented “Dynamic Molding” additive manufacturing process,B2B,health,,medical devices,,hardware,3d technology,11-50 employees,Oct 2020,€40—60m,€13.2m,"Villeurbanne, France",€10.0m SERIES A
https://storage.googleapis.com/dealroom-images-production/25/NzQ6NzQ6Y29tcGFueUBzMy1ldS13ZXN0LTEuYW1hem9uYXdzLmNvbS9kZWFscm9vbS1pbWFnZXMvMjAyNS8wMS8wNy8yY2E2MDU3NjBlZDAzNWFiMzVmZTRlNDQyYWZjYjE0Mg==.png,https://ecosystem.lafrenchtech.com/companies/45_8_energy,45-8 ENERGY,Dedicated to the eco-friendly exploration and production in Europe of helium and its associated resources such as natural hydrogen,B2B,energy,,clean energy,,deep tech,subscription,51-200 employees,Sep 2015,€80—120m,€27.5m,"Metz, France",€20.0m SERIES B
https://storage.googleapis.com/dealroom-images-production/d2/NzQ6NzQ6Y29tcGFueUBzMy1ldS13ZXN0LTEuYW1hem9uYXdzLmNvbS9kZWFscm9vbS1pbWFnZXMvMjAyNC8wNi8wNy8zMmJmMTM1MTc4OGE4MjM3Y2M3ODhmNDY0NjAzYTIwOQ==.png,https://ecosystem.lafrenchtech.com/companies/4d_virtualiz,4D-Virtualiz,"Hardware-in-the-loop 3D simulation for the development of off-road robotic systems mobiles, drones and intelligent vehicles",B2B,robotics,,,,hardware,artificial intelligence,2-10 employees,May 2014,,€764k,"Clermont-Ferrand, France",N/A ACQUISITION
https://storage.googleapis.com/dealroom-images-production/0f/NzQ6NzQ6Y29tcGFueUBzMy1ldS13ZXN0LTEuYW1hem9uYXdzLmNvbS9kZWFscm9vbS1pbWFnZXMvMjAyNS8wMS8wNy81M2E4MmFlMzJkNzIxZDJkZGMzODE5YzFjYjNlMjU0YQ==.png,https://ecosystem.lafrenchtech.com/companies/4p_pharma,4P Pharma,4P-Pharma | Translating Science to Product,B2B,health,fintech,biotechnology,,commission,,11-50 employees,Aug 2014,€60—90m,€15.0m,"Lille, France",€15.0m LATE VC
