nom,SIREN,Date de création,Denomination légale,Denomination usuelle,Activité principale,Tranche effectifs,Catégorie entreprise,État administratif,Adresse
#DOT:DOT,903206761,2021-09-17,DOTDOT,Non disponible,58.29C,Non disponible,PME,A,"9 AVENUE PAUL VERLAINE, 38100 GRENOBLE"
1KM A PIED,850487273,2019-04-30,1KM A PIED,Non disponible,62.01Z,11,PME,A,"5 PARVIS ALAN TURING, 75013 PARIS"
1LIFE GROUP,791143795,2013-02-12,1 LIFE,Non disponible,62.02A,21,PME,A,"1 PLACE CHARLES DE GAULLE, 78180 MONTIGNY-LE-BRETONNEUX"
2EMOTION,511423899,2009-01-14,CONTENT TO EMOTION,Non disponible,62.01Z,12,PME,A,"13 RUE TAITBOUT, 75009 PARIS"
2IS (INBOUND INTELLIGENCE SOLUTIONS),892195561,2020-12-14,INBOUND INTELLIGENCE SOLUTION,Non disponible,62.01Z,11,PME,A,"178 ROUTE DE CRAN-GEVRIER, 74650 CHAVANOD"
3 C EVOLUTION,429771363,2000-03-01,3 C EVOLUTION,Non disponible,62.01Z,12,PME,A,"186 CHEMIN DE L’ETOILE, 38330 MONTBONNOT-SAINT-MARTIN"
30 MILLE OOVOOM,889500021,2020-07-23,30 MILLE OOVOOM,Non disponible,62.01Z,02,PME,A,"12 RUE DE CIVRY, 75016 PARIS"
360 SMART CONNECT,805387461,2014-10-23,SMART 360,Non disponible,62.01Z,Non disponible,PME,A,"16 RUE DE LA VALLEE MAILLARD, 41000 BLOIS"
360PLAYER.IO,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible
3D AEROSPACE,840657068,2018-06-25,3D AEROSPACE,Non disponible,62.02A,01,PME,A,"CHE DE LA TEULIERE, 81000 ALBI"
3D MEDLAB,828603654,2017-02-03,3D MEDLAB,Non disponible,72.11Z,11,ETI,A,"218 QUARTIER LES GARRIGUES, 84240 LA MOTTE-D'AIGUES"
3D SOUND LABS,799927371,2014-01-22,3D SOUND LABS,Non disponible,62.01Z,Non disponible,PME,A,"130 RUE DE LOURMEL, 75015 PARIS"
3DCERAM SINTO,435266598,2001-04-02,S.A.S 3DCERAM-SINTO,Non disponible,23.44Z,12,PME,A,"27 RUE DU PETIT THEIL, 87280 LIMOGES"
3DEFRANCE&CO,884254525,2020-06-08,3DEFRANCE&CO,Non disponible,74.90B,Non disponible,PME,A,"1 RUE ENRICO FERMI, 63540 ROMAGNAT"
3DEUS DYNAMICS,890216609,2020-10-16,3DEUS DYNAMICS,Non disponible,22.29A,03,PME,A,"5 AVENUE GASTON BERGER, 69100 VILLEURBANNE"
3W ACADEMY,754047702,2012-10-15,3W ACADEMY,Non disponible,85.59A,12,ETI,A,"46 RUE RENE CLAIR, 75018 PARIS"
404WORKS,500704879,2007-10-12,4D VIEW SOLUTIONS,Non disponible,82.99Z,11,PME,A,"COURS BERRIAT, 38000 GRENOBLE"
4DVIEWS,500704879,2007-10-12,4D VIEW SOLUTIONS,Non disponible,82.99Z,11,PME,A,"COURS BERRIAT, 38000 GRENOBLE"
4P PHARMA,804204071,2014-07-01,4P-PHARMA,Non disponible,72.11Z,11,PME,A,"74 RUE DU FBG ST ANTOINE, 75012 PARIS 12"
6 FREEDOM,849911987,2019-04-08,6 FREEDOM,Non disponible,70.22Z,11,PME,A,"13 RUE DE LA PIERRE LEVEE, 75011 PARIS"
7HUGS LABS,799970538,2014-01-20,QORVO PARIS,Non disponible,62.02A,21,PME,A,"29 BOULEVARD ROMAIN ROLLAND, 92120 MONTROUGE"
A FOND GASTON,840605091,2018-06-12,A FOND GASTON,Non disponible,47.91B,01,PME,A,"110 COURS DOCTEUR LONG, 69003 LYON"
A2 PHOTONIC SENSORS,499011435,2007-07-01,A2 PHOTONIC SENSORS,A2 PHOTONIC SENSORS,26.51B,02,PME,A,"3  PRV LOUIS NEEL, 38000 GRENOBLE"
A2IM - ROBOTADIVISORS,833258437,2017-11-01,A2IM - ROBOTADIVISORS,Non disponible,62.01Z,01,PME,A,"LE PARVIS, 92800 PUTEAUX"
A3BC GROUP,839604576,2018-05-11,A3BC GROUP,Non disponible,74.90B,02,PME,A,"1 CONTOUR DE LA MOTTE, 35000 RENNES"
A3D - L'ATELIER NUMERIQUE,802736819,2014-06-01,A3D - L'ATELIER NUMERIQUE,Non disponible,85.59A,00,PME,A,"1398 CHE DU GRAND ETANG, 01480 SAVIGNEUX"
AAVLIFE,799863873,2013-12-20,ADVERUM BIOTECHNOLOGIES,Non disponible,72.11Z,Non disponible,Non disponible,C,"183 AV DE CHOISY, 75013 PARIS 13"
AB TASTY,518685540,2009-11-01,AB TASTY,Non disponible,62.02A,22,PME,A,"10 VILLA SAINT-MICHEL, 75018 PARIS"
ABIONYX PHARMA (EX-CERENIS),481637718,2005-03-24,ABIONYX PHARMA,CERENIS THERAPEUTICS,72.11Z,02,PME,A,"33 AVENUE GEORGES POMPIDOU, 31130 BALMA"
ABLA ANALYTICS,892049479,2021-01-01,ASTRA PORTA,Non disponible,62.02A,01,PME,A,"218 CHEMIN DE SAINTE MARTHE, 13014 MARSEILLE"
ABOLERIS PHARMA,879302800,2019-11-26,ABOLERIS PHARMA,Non disponible,72.19Z,02,PME,A,"22 BOULEVARD BENONI GOULLIN, 44200 NANTES"
ABSOLUT SYSTEM,521646216,2010-03-26,ABSOLUT SYSTEM,Non disponible,71.12B,12,PME,A,"32 RUE DE LA TUILERIE, 38170 SEYSSINET-PARISET"
ACCES INCLUSIVE TECH,822001665,2016-08-01,"ACCES, INCLUSIVE TECH",Non disponible,62.02A,21,ETI,A,"7 RUE DE TUNIS, 93200 SAINT-DENIS"
