Nom,Type
Verkor,"hardware, deep tech, selling own inventory, manufacturing"
Newcleo,"deep tech, hardware, commission, manufacturing"
Hugging Face,"natural language processing, machine learning, deep tech, artificial intelligence, advertising, , , , "
Pigment,"artificial intelligence, commission, saas"
Bon Vivant,"hardware, deep tech, selling own inventory, manufacturing"
Poolside AI,"deep tech, artificial intelligence, subscription, saas"
Electra,"mobile app, hardware, commission, manufacturing"
Inocel,"hardware, deep tech, commission, manufacturing"
mylight150,"hardware, selling own inventory, saas, manufacturing"
Mistral AI,"artificial intelligence, deep tech, subscription, saas"
Swile,"mobile app, subscription, saas"
Leetchi,"commission, saas"
Photoroom,"artificial intelligence, mobile app, commission, saas"
HOMA GAMES,"mobile app, commission, saas"
Flowdesk,"blockchain, commission, saas"
FEVE,commission
Kyutai,"deep tech, artificial intelligence, subscription, saas"
Gorgias,"artificial intelligence, machine learning, nanotech, subscription, saas"
Obat,"commission, saas"
Alpha Financial Markets Consulting,commission
BforeAI,"artificial intelligence, deep tech, subscription, saas"
Expliseat,"hardware, deep tech, selling own inventory, manufacturing"
Pasqal,"3d technology, deep tech, quantum technologies, selling own inventory, manufacturing"
Hive,"deep tech, big data, blockchain, commission, saas"
Gamned!,commission
