financement_id,entreprise_id,Date dernier financement,Série,Montant_def,valeur_entreprise,dernier_financement
1,1,2018-01-05,Série A,,,
2,1801,2018-01-05,Série A,,,
3,2,2021-01-05,Série B,,,
4,3895,2021-01-05,Série B,,,
5,3,2022-01-10,Amorçage,,,
6,3344,2022-01-10,Amorçage,,,
7,4,2015-01-09,Série B,,,
8,1782,2015-01-09,Série B,,,
9,5,2020-01-01,Série A,,,
10,2818,2020-01-01,Série A,,,
11,6,2020-01-10,Série A,,,
12,7,2020-01-01,Série C,,,
13,1904,2020-01-01,Série C,,,
14,8,2021-01-02,Série A,,,
15,4503,2021-01-02,Série A,,,
16,9,2020-01-01,Série A,,,
17,4907,2020-01-01,Série A,,,
18,10,2022-01-02,Série A,,,
19,2447,2022-01-02,Série A,,,
20,11,2014-01-09,Série B,,,
21,6802,2014-01-09,Série B,,,
22,12,2023-01-06,,,,
23,7476,2023-01-06,,,,
24,13,2022-01-03,Série B,,,
25,14,2020-01-11,Série B,,,
26,4037,2020-01-11,Série B,,,
27,15,2021-01-07,Série B,,,
28,16,2013-01-02,Série B,,,
29,9457,2013-01-02,Série B,,,
30,17,2020-01-09,,,,
31,18,2017-01-09,Série C,,,
32,3888,2017-01-09,Série C,,,
33,19,2020-01-06,Série A,,,
34,20,2023-01-01,Seed,,,
35,6654,2023-01-01,Seed,,,
36,21,2020-01-02,Amorçage,,,
37,22,2014-01-09,Série B,,,
38,4084,2014-01-09,Série B,,,
39,23,2021-01-06,Série A,,,
40,2532,2021-01-06,Série A,,,
41,24,2024-01-02,Série C,,,
42,1989,2024-01-02,Série C,,,
43,25,2022-01-05,Série B,,,
44,4483,2022-01-05,Série B,,,
45,26,2017-07-09,Amorçage,,,
46,2596,2017-07-09,Amorçage,,,
47,27,2023-01-04,Amorçage,,,
48,4233,2023-01-04,Amorçage,,,
49,28,2021-01-05,Série A,,,
50,3286,2021-01-05,Série A,,,
51,29,2019-01-07,Série A,,,
52,2433,2019-01-07,Série A,,,
53,30,2018-01-04,Série E,,,
54,2730,2018-01-04,Série E,,,
55,31,2020-01-09,Série A,,,
56,2491,2020-01-09,Série A,,,
57,32,2022-01-11,Amorçage,,,
58,33,2017-01-12,Amorçage,,,
59,6453,2017-01-12,Amorçage,,,
60,34,2019-01-06,Série C,,,
61,2547,2019-01-06,Série C,,,
62,35,2015-01-10,Série C,,,
63,4299,2015-01-10,Série C,,,
64,36,2018-01-05,Série B,,,
65,4163,2018-01-05,Série B,,,
66,37,2020-01-02,Série B,,,
67,2599,2020-01-02,Série B,,,
68,38,2021-01-04,,,,
69,2293,2021-01-04,,,,
70,39,2020-01-01,Amorçage,,,
71,40,2021-01-12,Série B,,,
72,4139,2021-01-12,Série B,,,
73,41,2023-01-01,Série B,,,
74,3163,2023-01-01,Série B,,,
75,42,2012-01-06,Amorçage,,,
76,3046,2012-01-06,Amorçage,,,
77,43,2021-01-02,,,,
78,3934,2021-01-02,,,,
79,44,2012-01-10,Amorçage,,,
80,45,2017-01-05,Série A,,,
81,2962,2017-01-05,Série A,,,
82,46,2021-01-10,Série A,,,
83,4069,2021-01-10,Série A,,,
84,47,2023-01-12,Série A,,,
85,3102,2023-01-12,Série A,,,
86,48,2023-01-03,Amorçage,,,
87,7286,2023-01-03,Amorçage,,,
88,49,2021-01-10,Amorçage,,,
89,3304,2021-01-10,Amorçage,,,
90,50,2022-01-09,Amorçage,,,
91,4092,2022-01-09,Amorçage,,,
92,51,2020-01-05,Série A,,,
93,3777,2020-01-05,Série A,,,
94,52,2020-01-06,Série B,,,
95,2321,2020-01-06,Série B,,,
96,53,2016-01-07,Série B,,,
97,4672,2016-01-07,Série B,,,
98,54,2015-01-12,Série A,,,
99,55,2019-01-09,Amorçage,,,
100,2149,2019-01-09,Amorçage,,,
101,56,2023-01-04,Série A,,,
102,5185,2023-01-04,Série A,,,
103,57,2024-01-02,Amorçage,,,
104,58,2021-01-01,Série A,,,
105,2594,2021-01-01,Série A,,,
106,59,2019-01-10,Amorçage,,,
107,4363,2019-01-10,Amorçage,,,
108,60,2022-01-10,Amorçage,,,
109,6732,2022-01-10,Amorçage,,,
110,61,2023-01-09,Amorçage,,,
