hashtag;name;name_link;amount;investors
#energie;Elyse Energy;https://www.maddyness.com/entreprise/elyse-energy/;120.0 M€;Hy24,, PGGM,, Bpifrance,, Mirova
#biotech;Cilcare;https://www.maddyness.com/entreprise/cilcare/;21.0 M€;Shionogi,, SPRIM Global Investments,, Sofilaro,, ARIS,, Sud PME Croissance,, UVM Health Capital
#martech;Happydemics;https://www.maddyness.com/entreprise/happydemics/;13.0 M€;Wille Finance AG,, Adélie Capital
#medtech;Orakl Oncology;https://www.maddyness.com/entreprise/orakl-oncology/;11.0 M€;Singular,, SpeedInvest,, HCVC,, Verve Ventures
#IT;Pathway;https://www.maddyness.com/entreprise/pathway/;9.4 M€;TQ Ventures,, Kadmos Capital,, Inovo,, Market One Capital,, ID4 Ventures
#medtech;Omnidoc;https://www.maddyness.com/entreprise/omnidoc/;6.0 M€;Alven,, Kurma Partners,, Newfund Capital
#biotech;Vetbiolix;https://www.maddyness.com/entreprise/vetbiolix/;4.0 M€;Bpifrance,, Nord France Amorçage,, Captech Santé,, Tudigo
#energie;Otrera New Energy;https://www.maddyness.com/entreprise/otrera-new-energy/;2.5 M€;CEA Investissement,, Groupe ADF,, REEL,, Ekium,, Groupe Snef,, Exergon,, Fortil
#rh / management;Objow;https://www.maddyness.com/entreprise/objow/;2.0 M€;Edenred,, HUB612 Participations,, Crédit Agricole Création,, Holnest
#energie;Pess Energy;https://www.maddyness.com/entreprise/pess-energy/;1.7 M€;Rise Partners,, CAAP Création,, Crédit Agricole Alpes Provence,, Région Sud Invest
#fintech;Mirabelle;https://www.maddyness.com/entreprise/mirabelle/;1.0 M€;Inter Invest,, Bpifrance,, business angels
#e-commerce;Limited Resell;https://www.maddyness.com/entreprise/limited-resell/;900.0k€;Sowefund,, Bpifrance,, Banque Populaire Méditerranée,, CIC,, business angels
#medtech;Aqemia;https://www.maddyness.com/entreprise/aqemia/;36.0 M€;Cathay Innovation,, Elaia Partners,, Eurazeo,, Bpifrance Large Venture,, Wendel Group
#divertissement / loisirs;Bsport;https://www.maddyness.com/entreprise/bsport-solution/;30.0 M€;Base10,, Octopus Ventures,, Seed4Soft
#Services;Wecasa;https://www.maddyness.com/entreprise/wecasa/;18.0 M€;Serena,, blisce/,, IXO Private Equity
#deeptech;Biomemory;https://www.maddyness.com/entreprise/biomemory/;17.0 M€;Crédit mutuel innovation,, Bpifrance,, Blast.Club,, Paris Business Angels,, Sorbonne Venture,, Adnexus,, Prunay Impact,, Next Sequence,, Accelerem
#web3;Dfns;https://www.maddyness.com/entreprise/dfns/;15.0 M€;Wintermute Ventures,, White Star Capital,, Susquehanna,, Semantic Ventures,, Motive Partners,, Motier Ventures
#deeptech;Ion-X;https://www.maddyness.com/entreprise/ion-x/;13.0 M€;Paris Régions Venture Fund,, Région Île-de-France,, EIC Fund,, Expansion,, Technofounders
#biotech;DeepLife;https://www.maddyness.com/entreprise/deeplife/;9.5 M€;YZR Capital,, Relyens,, Beiersdorf,, Prunay Impact
#rh / management;Uptale;https://www.maddyness.com/entreprise/uptale/;9.0 M€;Arkéa Capital,, Go Capital,, business angels
#transport / logistique;Syroco;https://www.maddyness.com/entreprise/syroco/;7.5 M€;Alter Equity,, Seventure Partners,, business angels
#greentech;ERS;https://www.maddyness.com/entreprise/ers/;5.0 M€;LocalGlobe,, noa,, AENU
#web3;Bitstack;https://www.maddyness.com/entreprise/bitstack/;5.0 M€;Stillmark,, Serena,, Plug & Play Ventures,, Y Combinator,, Founders Future,, Station F
#IT;Yampa;https://www.maddyness.com/entreprise/yampa/;3.0 M€;Partech,, business angels
#culture / médias;DashBook;https://www.maddyness.com/entreprise/dashbook/;2.0 M€;Seventure Partners
#IT;Artifeel;https://www.maddyness.com/entreprise/artifeel/;1.2 M€;Graines de Boss,, Side Angels,, Welikeangels
#divertissement / loisirs;Glyss;https://www.maddyness.com/entreprise/glyss/;100.0k€;business angels,, Bpifrance
#agritech;Elicit Plant;https://www.maddyness.com/entreprise/elicit-plant/;45.0 M€;Carbyne,, Sofinnova Partners,, ECBF,, Bpifrance
#fintech;Agicap;https://www.maddyness.com/entreprise/agicap/;45.0 M€;AXA Venture Partners
#assurtech;Fasst;https://www.maddyness.com/entreprise/fasst/;24.0 M€;Revaia,, Bpifrance Large Venture
#martech;Polar Analytics;https://www.maddyness.com/entreprise/polar-analytics/;17.0 M€;Chalfen Ventures,, Point Nine Capital,, Frst
#greentech;Iadys;https://www.maddyness.com/entreprise/iadys/;10.0 M€;Innovacom,, Région Sud Invest,, Go Capital,, France Active Investissement,, AVIVA Impact Investing,, Sud Mer Invest,, Abeille Impact Investing,, business angels
#e-commerce;Just;https://www.maddyness.com/entreprise/just/;8.0 M€;BACKED VC,, Daphni,, Otium Capital,, Kima Ventures
#cybersecurité;Prelude;https://www.maddyness.com/entreprise/prelude/;8.0 M€;Singular,, SeedCamp
#smart industry;TeepTrak;https://www.maddyness.com/entreprise/teeptrak/;5.0 M€;XAnge,, EDF,, Shift Invest
#fintech;Money Walkie;https://www.maddyness.com/entreprise/money-walkie-qiip/;4.0 M€;BPCE,, Groupe M6,, Caisse d'Epargne,, Sowefund
#fintech;Omaha Insights;https://www.maddyness.com/entreprise/omaha-insights/;3.5 M€;Ventech,, Axeleo Capital
#fashiontech;Trace For Good;https://www.maddyness.com/entreprise/trace-for-good/;3.5 M€;Seed4Soft,, Hi Inov,, Ankaa Ventures
#foodtech;Meet My Mama;https://www.maddyness.com/entreprise/meet-my-mama/;3.0 M€;BNP Paribas,, Kimpa,, Fair/e,, Olymp Capital,, Groupe Up
#energie;SerenySun;https://www.maddyness.com/entreprise/serenysun-energies/;3.0 M€;Terra Nea
#medtech;WeKare;https://www.maddyness.com/entreprise/wekare/;2.0 M€;business angels
#foodtech;PimpUp;https://www.maddyness.com/entreprise/pimpup/;1.7 M€;business angels
#medtech;InHeart;https://www.maddyness.com/entreprise/inheart/;750.0k€;SWEN Capital Partners
#medtech;Doado;https://www.maddyness.com/entreprise/doado/;400.0k€;Bpifrance,, Région Nouvelle-Aquitaine,, business angels
#rh;Gr33t;https://www.maddyness.com/entreprise/gr33t/;320.0k€;business angels
#deeptech;Loft Orbital;https://www.maddyness.com/entreprise/loft-orbital/;170.0 M€;Tikehau Capital,, Bpifrance Large Venture,, Temasek,, Supernova Invest,, Tribeca Venture Partners
#deeptech;Bioptimus;https://www.maddyness.com/entreprise/bioptimus/;39.8 M€;Cathay Innovation,, Sofinnova Partners,, Bpifrance,, Andera Partners,, Hitachi Ventures,, Boom Capital Ventures,, Felix Capital
#medtech;Robeauté;https://www.maddyness.com/entreprise/robeaute/;27.0 M€;Plural,, Cherry Ventures,, Kindred Ventures,, LocalGlobe,, Think.Health,, APEX Ventures
#rh / management;Maki;https://www.maddyness.com/entreprise/maki/;26.0 M€;Blossom Capital,, DST,, Frst,, GFC,, Picus Capital
#cybersecurité;BforeAI;https://www.maddyness.com/entreprise/bfore-ai/;9.0 M€;Titanium Ventures,, SYN Ventures
#greentech;Leakmited;https://www.maddyness.com/entreprise/leakmited/;5.0 M€;Starquest Capital,, Banque des Territoires
;Evenizer;https://www.maddyness.com/entreprise/evenizer/;1.0 M€;Trail,, Calao Finance,, Family Ventures
#smart industry;Deephawk;https://www.maddyness.com/entreprise/deephawk/;1.0 M€;The Moon Venture
#IT;Kai KnowledgeAI;https://www.maddyness.com/entreprise/kai-knowledgeai/;600.0k€;Seed4Soft,, business angels
#proptech;Immoblade;https://www.maddyness.com/entreprise/immoblade/;550.0k€;business angels,, Sowefund
#divertissement / loisirs;Spliiit;https://www.maddyness.com/entreprise/spliiit/;500.0k€;Superprof
#tourisme;Toploc;https://www.maddyness.com/entreprise/toploc/;450.0k€;Bpifrance,, Réseau Entreprendre Haute-Savoie
#deeptech;Comand AI;https://www.maddyness.com/entreprise/comand-ai/;8.5 M€;Eurazeo,, Frst,, Expeditions Fund,, business angels
#deeptech;RMAN Sync;https://www.maddyness.com/entreprise/rman-sync/;2.3 M€;CEN Capital,, Normandie Participations
#assurtech;Little John;https://www.maddyness.com/entreprise/little-john/;1.1 M€;FEBE Ventures,, Vessoa,, Leocare,, business angels
#Services;HomeCycle;https://www.maddyness.com/entreprise/homecycle/;360.0k€;Side Angels,, Jumanji2030,, Bpifrance,, business angels
#deeptech;The Exploration Company;https://www.maddyness.com/entreprise/the-exploration-company/;150.0 M€;Balderton Capital,, Plural,, Bessemer Venture Partners,, NGP Capital,, Bpifrance,, DTCF,, Bayer Capital,, EQT Ventures,, Red River West,, Cherry Ventures,, Promus Ventures,, Omnes Capital
#IT;ChapsVision;https://www.maddyness.com/entreprise/chapsvision/;85.0 M€;Qualium Investissement,, Tikehau Capital,, Bpifrance,, GENEO Capital,, Jolt Capital
#web3;Deblock;https://www.maddyness.com/entreprise/deblock/;16.0 M€;Hoxton Ventures,, Headline,, 20VC,, Chalfen Ventures
#fashiontech;Faircraft;https://www.maddyness.com/entreprise/faircraft-2/;15.0 M€;Kindred Ventures,, Heirloom,, Entrepreneur First,, Blue Wire Capital,, Saké Bosch,, Alliance for Impact Ventures,, CapHorn | Anaxago,, Bpifrance
#smart industry;Metron;https://www.maddyness.com/entreprise/metron/;12.5 M€;GET Fund,, BNP Paribas,, Climate Investment,, Vertigo
#Services;Hoji;https://www.maddyness.com/entreprise/hoji/;8.5 M€;Banque des Territoires,, Greenpact,, ACI,, family office
#martech;Arenametrix;https://www.maddyness.com/entreprise/arenametrix/;8.0 M€;Reflexion Capital,, Newfund Capital
#medtech;Primaa;https://www.maddyness.com/entreprise/primaa/;5.0 M€;Cenitz,, Leia Capital,, Cléry,, business angels
#IT;Freqens;https://www.maddyness.com/entreprise/freqens/;3.0 M€;SeedCamp,, Kima Ventures,, Motier Ventures,, Financière Saint-James,, business angels
#IT;Linkup;https://www.maddyness.com/entreprise/linkup/;3.0 M€;Kima Ventures,, SeedCamp,, Y Combinator,, Axeleo Capital,, Financière Saint-James,, Motier Ventures
