nom;description;logo;mots_cles_b;site_web_x;tags;emplacement;Date dernier financement;Série;Montant;LinkedIn;adresse_z;Contact;Date de création;Marché;Type d'organisme
#DOT:DOT;"#dot:dot est un réseau mobile WiFi maillé opportuniste. Pas d'infrastructure. Pas de supervision. Pas d'abonnement. Grâce à de petits hardwares autonomes - les ""#dot's"" - qui se connectent dynamiquement aux autres #dot's, éventuellement mobiles, disponibles, un réseau auto-cicatrisant est créé sans aucune intervention humaine. Les #dot's transforment ainsi n'importe quelle foule en un réseau mobile privé ! Les premières applications sont notamment : (i) le ""FOTA viral"", c'est-à-dire la mise à jour du Firmware Over-The-Air des véhicules connectés sans carte SIM ni cloud, en s'appuyant sur le nuage maillé #dot:dot pour une propagation virale des mises à jour; (ii) le répéteur WiFi auto-reconfigurable, étendant la connexion WiFi et internet dans les zones sombres de la couverture mobile (parkings, tunnels, bibliothèques, domicile...).";https://www.minalogic.com/wp-content/uploads/2022/06/dotdot-333x250.png;;;;;;;;;"9 Avenue Paul Verlaine
                                                                                                                                                    38100
                                                                                                                GRENOBLE";BUREAU Christophe                                        PRÉSIDENT;2021;Infrastructures du numérique,                                                                             ICC;PME
1001PHARMACIES;Achetez sur internet chez les pharmacies françaises : produits de parapharmacie, médicaments en ligne, conseils-santé avec des pharmaciens diplômés.;https://upload.prd.hbd.cloud.bpifrance.fr/startup_logo/4ee507c6-f79d-4286-add3-81a9d480dd40;;https://www.1001pharmacies.com/;;;;;;;;;;;
100M;100M simplifie la production du reporting traditionnel, digitalise le suivi de portefeuille et vous aide à mieux communiquer.;https://upload.prd.hbd.cloud.bpifrance.fr/startup_logo/cff9cd82-3752-4967-bb9e-47857da2770e;;;;;;;;;;;;;
10H11;10h11 est une société technologique dans l’optimisation de l’exploitation de la data.;https://upload.prd.hbd.cloud.bpifrance.fr/startup_logo/87c52e15-6096-4629-b012-2d9c648dec34;;https://www.10h11.com/;;;;;;;Bordeaux;;;;
14H28;Agence de marketing numérique;https://upload.prd.hbd.cloud.bpifrance.fr/d09a5d9f-7b58-4d23-8662-5302ebf166c0;;https://14h28.com/;;;;;;;;;;;
1KM A PIED;Notre algorithme de répartition optimal trouve le meilleur emplacement pour chaque employé afin de minimiser l'impact CO2 de chaque trajet;https://upload.prd.hbd.cloud.bpifrance.fr/2e751b8b-eef3-4af6-8c41-eb0619a07cce;;https://www.1kmapied.com/;;;;;;;;;;;
1LIFE GROUP;"Intégrateur leader de solutions ERP pour l’industrie, 1LIFE Group est reconnu pour son expertise industrielle.
Engagé dans le Made in France, son entreprise MyFab intègre la solution ERP 100% française Open-Prod. 
ERP créé par des industriels pour des industriels, MyFab s'adresse aux TPE/PME de l’électronique, plasturgie, machine spéciale, fonderie forge, mécanique, tôlerie chaudronnerie, travail à l’affaire...";https://upload.prd.hbd.cloud.bpifrance.fr/startup_logo/d50a3bb2-7c2d-40e6-841c-5e4652124b46;['#ERP', '#industrie', '#production', '#Cloud', '#GPAO'];https://www.1lifegroup.fr/;;;;;;;;;;;
2CRSI;Nous proposons des produits adaptés aux industries nécessitant des solutions robustes et / ou embarquées et aux datacenters à la recherche de systèmes hautes performances et haute densité alliés à l'efficacité énergétique.;https://upload.prd.hbd.cloud.bpifrance.fr/startup_logo/db147fbf-107e-4717-a88d-698d43a06b7e;;https://2crsi.com/;;;;;;;;;;;
2EMOTION;Nous simplifions la création vidéo en outillant les équipes marketing & communication d’un outil web leur permettant de créer par eux-mêmes des vidéos de qualité professionnelle;https://upload.prd.hbd.cloud.bpifrance.fr/startup_logo/c6240d62-870d-4a9e-a30f-b451572207f4;;https://www.2emotion.com/;;;;;;;;;;;
2IS (INBOUND INTELLIGENCE SOLUTIONS);"Aprobase est un expert en Intelligence Stratégique.
Se référant à des bases de données exhaustives, nous transmettons à nos clients des informations pertinentes.
Nos clients sont des sociétés proposant des produits et/ou services à forte valeur ajoutée. Nos interlocuteurs sont les directeurs de la stratégie, du marketing, commercial, technique, de division ou général.
Concernant les sujets d’intelligence qui nous sont confiés, nos clients n’ont pas besoin de veilleurs";https://www.minalogic.com/wp-content/uploads/2021/02/logo-2is-334x250.png;;;;;;;;;"178 route de Cran Gevrier
                                                                                                                                                    74650
                                                                                                                CHAVANOD";LEMAIRE Richard                                        Président;1989;Infrastructures du numérique;PME
2SPARK;"Déployer et réussir la transformation de votre entreprise… en 1 minute par jour.

#IA #Software";https://upload.prd.hbd.cloud.bpifrance.fr/awsS3-uploads/6333ca7d6057a91a28d12af89f241dff;;https://www.2spark.com/;;;;;;;;;;;
3 C EVOLUTION;"3C-EVOLUTION conçoit, développe et met en place des solutions de gestion de l’information produit (MDM / PIM / DAM / PUBLICATION) et catalogues innovantes, pour permettre à ses clients de mieux gérer leur information produit et de valoriser leurs offres produits, sur papier et sur les médias digitaux. 

3C-EVOLUTION est éditeur et intégrateur de la solution NEXTPAGE© (MDM / PIM / DAM / Publication multicanal).";https://upload.prd.hbd.cloud.bpifrance.fr/startup_logo/8c14ab84-c255-48b9-a0bc-15bb03c4c2a4;;https://www.3c-e.com/;;;;;;;;;;;
30 MILLE OOVOOM;La solution OoVoom assure aux garages un apport de clients, une meilleure gestion du flux et du portefeuille client. Mais c'est aussi l'assurance d'un devis transparent pour les utilisateurs de l'application mobile OoVoom.;https://upload.prd.hbd.cloud.bpifrance.fr/startup_logo/2752698c-c9f3-482f-b079-963edd278957;;https://oovoom.com/;;;;;;;;;;;
360 SMART CONNECT;Augmenter la valeur des produits et ouvrages du BTP en y associant de nouveaux services à forte valeur ajoutée ! - Créateur du béton connecté;https://upload.prd.hbd.cloud.bpifrance.fr/awsS3-uploads/aecd26900376de075bf82541bb79dbe5;;https://www.360sc.io/;;;;;;;;;;;
360LEARNING;360Learning permet aux équipes Formation de piloter la culture et décupler la croissance de l’entreprise grâce au Collaborative Learning. La plateforme 360Learning intègre le pouvoir du collaboratif au cœur d’un LMS moderne pour miser sur l'intelligence c;https://upload.prd.hbd.cloud.bpifrance.fr/awsS3-assets/Startup_Logo/Bkb9pRSrf.com/t_api_images/zytnyamafdibqioanwon;['#Corporate Training', '#EdTech', '#Communities', '#MOOC', '#Education'];https://fr.360learning.com/;;;;;;;;;;;
