nom,SIREN,Date de création,Denomination légale,Denomination usuelle,Activité principale,Tranche effectifs,Catégorie entreprise,État administratif
#DOT:DOT,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible
1001PHARMACIES,812052017,2015-06-09,THEFAMILY FOR 1001PHARMACIES,Non disponible,64.20Z,Non disponible,PME,Non disponible
100M,823095401,2016-09-30,100M,Non disponible,58.29A,Non disponible,Non disponible,Non disponible
10H11,531294296,2011-03-07,10H11,Non disponible,58.29C,02,PME,Non disponible
14H28,438157679,2001-06-01,14H28,Non disponible,73.11Z,11,PME,Non disponible
1KM A PIED,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible
1LIFE GROUP,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible
2CRSI,483784344,2005-07-27,2CRSI,2CRSI,70.22Z,21,PME,Non disponible
2EMOTION,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible
2IS (INBOUND INTELLIGENCE SOLUTIONS),Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible
2SPARK,,,,,,,,
3 C EVOLUTION,,,,,,,,
30 MILLE OOVOOM,,,,,,,,
360 SMART CONNECT,,,,,,,,
360LEARNING,,,,,,,,
360PLAYER.IO,,,,,,,,
365TALENTS,,,,,,,,
3D AEROSPACE,,,,,,,,
3D MEDLAB,,,,,,,,
3D SOUND LABS,,,,,,,,
3D-OXIDES,,,,,,,,
3D4PRO,,,,,,,,
3DCELO,,,,,,,,
3DCERAM SINTO,,,,,,,,
3DEFRANCE&CO,,,,,,,,
3DEUS DYNAMICS,,,,,,,,
3DLYFE,,,,,,,,
3DNATIVES,,,,,,,,
3DTRUST,,,,,,,,
3W ACADEMY,,,,,,,,
3WAYSTE,,,,,,,,
404WORKS,,,,,,,,
45-8 ENERGY,,,,,,,,
4D-VIRTUALIZ,,,,,,,,
4DVIEWS,,,,,,,,
4P PHARMA,,,,,,,,
55 | FIFTY-FIVE,,,,,,,,
6 FREEDOM,,,,,,,,
60MN,,,,,,,,
7-SHAPES,,,,,,,,
7HUGS LABS,,,,,,,,
8POURCENT,,,,,,,,
90TECH,,,,,,,,
A FOND GASTON,,,,,,,,
A.I.MERGENCE,,,,,,,,
A2 PHOTONIC SENSORS,,,,,,,,
A2IM - ROBOTADIVISORS,,,,,,,,
A3BC GROUP,,,,,,,,
A3D - L'ATELIER NUMERIQUE,,,,,,,,
AAVLIFE,,,,,,,,
AB TASTY,,,,,,,,
ABACANE,,,,,,,,
ABATECK,,,,,,,,
ABBIRA,,,,,,,,
ABCELY,,,,,,,,
ABGX,,,,,,,,
ABIONYX PHARMA (EX-CERENIS),,,,,,,,
ABLA ANALYTICS,,,,,,,,
ABLATOM,,,,,,,,
ABOLERIS PHARMA,,,,,,,,
ABSOLUT SYSTEM,,,,,,,,
ACCENTA,,,,,,,,
ACCES INCLUSIVE TECH,,,,,,,,
ACCO,,,,,,,,
ACCOLADE,,,,,,,,
ACINQ,,,,,,,,
ACKLIO,,,,,,,,
ACROME,,,,,,,,
ACSIEL ALLIANCE ÉLECTRONIQUE,,,,,,,,
ACTEMIUM LILLE DIGITAL SOLUTIONS,,,,,,,,
ACTILITY,,,,,,,,
ACTIONDESK,,,,,,,,
ACTIS ERGONOMIE ET PERFORMANCES,,,,,,,,
ACTIVHANDI,,,,,,,,
ACTIVUP,,,,,,,,
ACTIVUS GROUP,,,,,,,,
ACTRONIKA,,,,,,,,
ACUITY DATA,,,,,,,,
AD CERTIFICATION,,,,,,,,
