date;name;sector;amount;status;investors
01.01.25;Aisprid;Agritech;10.0 M€;Série A;II, BB, DD, + 3
01.01.25;Evenizer;;1.0 M€;Amorçage;TT, CF, FV
01.01.25;Rewake;Greentech;400.0k€;Amorçage;CF, CC, CV
01.01.25;Hexana;Energie;10.0 M€;Amorçage;BB, EG, CI, + 1
01.01.25;Deephawk;Smart industry;1.0 M€;Amorçage;TV
01.01.25;Hyperline;Fintech;9.7 M€;Amorçage;IV
01.01.25;Kai KnowledgeAI;IT;600.0k€;Amorçage;SS, BA
01.01.25;Karmen;Fintech;9.0 M€;Amorçage;SP, FA, BB
01.01.25;Immoblade;Proptech;550.0k€;Amorçage;BA
01.01.25;Bioptimus;Deeptech;39.8 M€;Série A;CI, SP, BB, + 4
01.01.25;Atoba Energy;Energie;1.4 M€;Amorçage;CC, BA
01.01.25;BeZero;Climate tech;32.0 M€;Série C;GG, JA, + 6
01.01.25;Loft Orbital;Deeptech;170.0 M€;Série C;TC, TT, + 2
01.01.25;MagIA Diagnostics;Medtech;1.1 M€;Série A;BA
01.01.25;NatureMetrics;Climate tech;25.0 M€;Série B;JC, MF, + 4
01.01.25;BforeAI;Cybersecurité;9.0 M€;Série B;TV, SV
01.01.25;Wellow;Proptech;750.0k€;Amorçage;NN
01.01.25;Baker Staff;Foodtech;600.0k€;Amorçage;SC, BA
01.01.25;Kraaft;Proptech;13.0 M€;Série A;DC, BV, CV, + 2
01.01.25;Leakmited;Greentech;5.0 M€;Série A;SC, BT
01.01.25;Leakmited;Greentech;5.0 M€;Série A;SC, BT
01.01.25;AuraLip;Foodtech;500.0k€;Amorçage;BB, YI, FA, + 2
01.01.25;Aisprid;Agritech;10.0 M€;Série A;II, BB, DD, + 3
01.01.25;Evenizer;;1.0 M€;Amorçage;TT, CF, FV
01.01.25;Rewake;Greentech;400.0k€;Amorçage;CF, CC, CV
01.01.25;Hexana;Energie;10.0 M€;Amorçage;BB, EG, CI, + 1
01.01.25;Deephawk;Smart industry;1.0 M€;Amorçage;TV
01.12.24;Otrera New Energy;Energie;2.5 M€;Amorçage;CI, GA, RR, + 4
01.12.24;Bitstack;Web3;5.0 M€;Amorçage;SS, SS, + 3
01.12.24;Comand AI;Deeptech;8.5 M€;Amorçage;EE, FF, EF, + 1
01.12.24;Bitstack;Web3;5.0 M€;Amorçage;SS, SS, + 3
01.12.24;Comand AI;Deeptech;8.5 M€;Amorçage;EE, FF, EF, + 1
01.12.24;Objow;Rh / management;2.0 M€;Amorçage;EE, HP, CC, + 1
01.12.24;Yampa;IT;3.0 M€;Amorçage;PP, BA
01.12.24;Byzantine;Web3;2.6 M€;Pré-seed;
01.12.24;RMAN Sync;Deeptech;2.3 M€;Amorçage;CC
01.12.24;Pess Energy;Energie;1.7 M€;Amorçage;RP, CC, CP, + 1
01.12.24;DashBook;Culture / médias;2.0 M€;Amorçage;SP
01.12.24;Aqemia;Medtech;36.0 M€;Série A;CI, EP, + 2
01.12.24;Little John;Assurtech;1.1 M€;Amorçage;FV, VV, LL, + 1
01.12.24;Limited Resell;E-commerce;900.0k€;Amorçage;BB, BM, + 2
01.12.24;Glyss;Divertissement / loisirs;100.0k€;Amorçage;BA, BB
01.12.24;nVenue;Paris Sportifs;5.0 M€;Seed;FV
01.12.24;Elyse Energy;Energie;120.0 M€;Amorçage;HH, PP, BB, + 1
01.12.24;Biomemory;Deeptech;17.0 M€;Série A;CI, BB, BB, + 6
01.12.24;SkyVisor;Smart industry;1.2 M€;Amorçage;TT, BB, RÎ
01.12.24;Bsport;Divertissement / loisirs;30.0 M€;Série B;BB, OV, SS
01.12.24;Bitstack;Fintech;10.0 M€;Série A;FV
01.12.24;Cilcare;Biotech;21.0 M€;Série A;SS, SI, SS, + 3
01.12.24;Ion-X;Deeptech;13.0 M€;Série A;PF, RÎ, EF, + 2
01.12.24;Pathway;IT;9.4 M€;Amorçage;TV, KC, II, + 2
01.12.24;Syroco;Transport / logistique;7.5 M€;Série A;SP, BA
01.12.24;Usual;Web3;9.6 M€;Série A;WV, FC, CC, + 16
01.12.24;Omnidoc;Medtech;6.0 M€;Amorçage;AA, KP, NC
01.12.24;ERS;Greentech;5.0 M€;Amorçage;LL, NN, AA
01.12.24;Otrera New Energy;Energie;2.5 M€;Amorçage;CI, GA, RR, + 4
01.12.24;Bitstack;Web3;5.0 M€;Amorçage;SS, SS, + 3
01.12.24;Comand AI;Deeptech;8.5 M€;Amorçage;EE, FF, EF, + 1
01.12.24;Objow;Rh / management;2.0 M€;Amorçage;EE, HP, CC, + 1
01.12.24;Yampa;IT;3.0 M€;Amorçage;PP, BA
01.12.24;Mirabelle;Fintech;1.0 M€;Amorçage;II, BB, BA
01.12.24;Artifeel;IT;1.2 M€;Amorçage;GB, SA, WW
01.12.24;Wecasa;Services;18.0 M€;Série B;SS, BB, IE
01.12.24;HomeCycle;Services;360.0k€;Amorçage;SA, JJ, BB, + 1
01.12.24;Limited Resell;E-commerce;900.0k€;Amorçage;BB, BM, + 2
01.12.24;Glyss;Divertissement / loisirs;100.0k€;Amorçage;BA, BB
