url,logo,name,description,infos,contact
https://www.minalogic.com/annuaire/viapix-systems/,https://www.minalogic.com/wp-content/uploads/2021/12/logo-viapix-334x250.png,Viapix Systems,"Depuis 2004, notre équipe conçoit et développe des solutions matérielles et logicielles pour l'auscultation de réseaux de transport. Spécialisés en traitement d'image et en intégration de systèmes embarqués, nous équipons des sociétés d’ingénierie, des bureaux d'études ainsi que des gestionnaires de réseaux afin qu'ils puissent mener à bien leurs missions.","{""Type d'organisme"": 'PME', 'Date de création': '2020', 'Thématiques': 'IA,                                                                             Logiciel,                                                                             Microélectronique,                                                                             Photonique', 'Marchés': 'Energie Bâtiment,                                                                             ICC,                                                                             Industrie du futur,                                                                             Mobilité', ""Date d'adhésion"": '10/12/2021'}","{'Adresse': '1 rue Jacqueline Auriol\n                                                                                                                                                    78280\n                                                                                                                GUYANCOURT', 'Contact': 'DESTHIEUX Marc                                        Directeur Général'}"
https://www.minalogic.com/annuaire/bill-up/,https://www.minalogic.com/wp-content/uploads/2024/10/logo-bill-up.png,Bill Up,"Bill Up est une application conçue pour faciliter le paiement et l’archivage de nos factures.
L’application collecte les factures reçues par email ou photo et extrait les données nécessaires à leur paiement : nom du fournisseur, montant, IBAN du fournisseur. Elle offre à l’utilisateur l’option de payer par virement bancaire puis archive la facture. Le paiement peut être effectué instantanément ou à la date d’échéance.
L’utilisateur aura un historique des factures payées qu’il pourra utiliser pour sa comptabilité.","{""Type d'organisme"": 'PME', 'Date de création': '2024', 'Thématiques': 'Logiciel', ""Date d'adhésion"": '27/09/2024'}","{'Adresse': '386 Route de Chavanne\n                                                                                                                                                    74330\n                                                                                                                POISY', 'Contact': 'SCACCHETI Anthony                                        CEO'}"
https://www.minalogic.com/annuaire/u-neat/,https://www.minalogic.com/wp-content/uploads/2023/05/uneat-386x250.png,U.NEAT,"U.NEAT est une société de services numériques, pure player des activités de cybersécurité. Basée à Lyon, Paris et Aix en Provence, elle est organisée autour de 2 activités :
• Un pôle d'assistance technique (AT) sur des expertises de Management de la sécurité, de DevSecOps, et de sécurité des opérations. Les consultants de U.NEAT accompagnent ses Clients dans l'intégration et le maintien en conditionnelles opérationnelles des outillages de sécurité.
• Un pôle de Managed Security Services Provider (MSSP) pour opérer dans notre security Operation Center (SOC) la détection des menaces et la réponse aux incidents de sécurité des Clients de U.NEAT.
Les équipes SOC définissent un niveau très élevé de personnalisation des règles de détection , et contextualisent les informations fournies pour chacun de ses Clients. L'offre MSSP de U.NEAT est totalement souveraine, que ce soit au niveau de la localisation des équipes ou au niveau de l'outillage.","{""Type d'organisme"": 'PME', 'Date de création': '2022', 'Thématiques': 'Cybersécurité', 'Marchés': 'Agro-alimentaire,                                                                             Chimie Environnement,                                                                             Défense,                                                                             Industrie du futur,                                                                             Mobilité,                                                                             NewSpace,                                                                             Santé,                                                                             Textile', ""Date d'adhésion"": '23/05/2023'}","{'Adresse': '41 rue de la République\n                                                                                                                                                    69002\n                                                                                                                LYON', 'Contact': 'GUILHEN Guillaume                                        Dirigeant'}"
https://www.minalogic.com/annuaire/ece-ecole-dingenieurs/,https://www.minalogic.com/wp-content/uploads/2020/07/minalogic-member-fr-ece-333x250.png,ECE – Ecole d’Ingénieurs,"Ecole d'ingénieurs généraliste et high-tech, l'ECE offre l'opportunité à chacun de construire son parcours en fonction de ses goûts & ses projets. Avec 8 majeures technologiques, 8 mineures professionnelles, 9 options d'approfondissement, la possibilité de faire un bi-cursus (recherche ou international) dans une université partenaire, plus de 1001 parcours différents sont proposés aux élèves en anglais ou en français (au choix). La formation peut se faire par la voie de l'apprentissage en cycle ingénieur.","{""Type d'organisme"": ""Etablissement d'enseignement supérieur et de recherche"", 'Date de création': '1992', 'Thématiques': 'Cybersécurité,                                                                             IA,                                                                             Logiciel,                                                                             Microélectronique,                                                                             Photonique', 'Marchés': 'Chimie Environnement,                                                                             Energie Bâtiment,                                                                             ICC,                                                                             Industrie du futur,                                                                             Mobilité,                                                                             NewSpace,                                                                             Santé', ""Date d'adhésion"": '16/01/2019'}","{'Adresse': ""25 Rue de l'Université\n                                                                                                                CS 90725\n                                                                                                                69367\n                                                                                                                LYON CEDEX 07"", 'Contact': 'TENDERO Yohann                                        Directeur délégué de l’ECE à Lyon'}"
https://www.minalogic.com/annuaire/udimec/,https://www.minalogic.com/wp-content/uploads/2020/07/minalogic-member-fr-udimec-0.jpg,UDIMEC,"UDIMEC regroupe les entreprises industrielles, dans les domaines tels que le nucléaire, l’aéronautique, la construction mécanique, l’automobile, la métallurgie, les composants et équipements électriques ou électroniques, ainsi que les entreprises de service à l’industrie.
UDIMEC accompagne chaque entreprise dans sa démarche de compétitivité, d’excellence et de responsabilité sociale en développant des services experts, complets et novateurs.
- Conseil : juridique et social/ Emploi
- Formation : Alternance du BEP au BTS, Licence /Master Pro et Ingénieur.
Continue et Qualifiante
Corporate : management, stratégie, innovation, commerciale
- Financement des PME
SOMUDIMEC : Etablissement de crédit professionnel
Crédits, crédits-bails, affacturage, assurance-crédit, …
RHONE DAUPHINE DEVELOPPEMENT : Société de capital risque
Pour reprise, développement et création de PME","{""Type d'organisme"": 'Organisme de développement économique', 'Date de création': '1900', 'Thématiques': 'Non Applicable', 'Marchés': 'Non applicable', ""Date d'adhésion"": '21/11/2005'}","{'Adresse': '19 rue des Berges\n                                                                                                                                                    38024\n                                                                                                                GRENOBLE CEDEX', 'Contact': 'HENRY Elnou                                        DG'}"
https://www.minalogic.com/annuaire/vogo/,https://www.minalogic.com/wp-content/uploads/2021/02/vogo-334x250.png,VOGO,"VOKKERO® : la référence en systèmes de radiocommunication professionnelle pour équipes mobiles, dans le sport, le pro audio, l'industrie et les services. VOKKERO® est une marque de la société VOGO, proposant des systèmes de communication complets composés d'un ensemble de terminaux radio portatifs et de micro-casques à choisir parmi une large gamme d'accessoires. Les systèmes de communication permettent à plusieurs utilisateurs de créer une conférence audio instantanée, permanente et sécurisée. Système mains-libres, il ne nécessite aucun relai fixe. D'une utilisation simple, intuitive et économique, ils contribuent à améliorer les prises de décision.","{""Type d'organisme"": 'PME', 'Date de création': '2013', 'Thématiques': 'IA,                                                                             IoT,                                                                             Logiciel,                                                                             Microélectronique', 'Marchés': 'Infrastructures du numérique,                                                                             ICC', ""Date d'adhésion"": '25/02/2021'}","{'Adresse': 'Parc Technologique des Fontaines\n                                                                                                                Activillage 3A\n                                                                                                                38190\n                                                                                                                BERNIN', 'Contact': 'SAGUIN Pascal                                        Directeur Général Adjoint'}"
https://www.minalogic.com/annuaire/idec-hautes-technologies/,https://www.minalogic.com/wp-content/uploads/2023/03/idec-hautes-technologies.png,IDEC HAUTES TECHNOLOGIES,"Nous concevons et construisons des ouvrages pensés pour accompagner le développement des entreprises dans le secteur des Hautes Technologies : zones de production pour la microélectronique, laboratoires et plateformes de recherche, plateaux techniques. Plus que de simples bâtiments, les projets que nous réalisons intègrent l’ensemble des leviers indispensables pour satisfaire les enjeux de nos clients : Architecture et Aménagement, Recherche et Développement, Environnement et Biodiversité, Qualité Hygiène Sécurité Éco-Responsabilité.
Avec nos experts en immobilier techniques et process, nous mettons tout notre savoir-faire au service des opérations les plus ambitieuses.","{""Type d'organisme"": 'PME', 'Date de création': '2003', 'Thématiques': 'Logiciel,                                                                             Non Applicable', 'Marchés': 'Chimie Environnement,                                                                             Infrastructures du numérique,                                                                             Energie Bâtiment,                                                                             Industrie du futur', ""Date d'adhésion"": '28/03/2023'}","{'Adresse': '420 Chemin des Prêles - Bât. C\n                                                                                                                ZAC Isiparc\n                                                                                                                38330\n                                                                                                                SAINT-ISMIER', 'Contact': 'DURIEU Sylvain                                        Directeur Commercial'}"
https://www.minalogic.com/annuaire/absolut-system/,https://www.minalogic.com/wp-content/uploads/2021/04/absolut-system-334x250.png,Absolut System,"Créée en 2010 par des experts en haute technologie cryogénique, Absolut System est spécialisée dans la gestion thermique cryogénique. Grâce à sa réactivité, sa flexibilité et sa forte maturité technique, la société développe aujourd’hui des solutions pour les marchés de l’aéronautique, du spatial, de la recherche scientifique, de la supraconductivité et des nouvelles énergies.
Avec une équipe de 25 ingénieurs, Absolut System innove pour la recherche et crée des composants destinés à des systèmes complexes utilisés à l’international.
Absolut System intègre deux pôles d’activités transverses :
Innovation cryogénique :
- Services de recherche et développement pour la création de solutions globales et clé en main, développées sur mesure pour des industriels et des laboratoires de recherches scientifiques.
- Gestion de projets complexes de la conception à l’exploitation sur site.
Équipements cryogéniques  
- Fournisseur de composants à haute valeur ajoutée pour des applications embarquées ainsi que de systèmes complets clé en main.
- Recherche et développement de nouveaux produits : Design et conception, prototypage et validation puis fabrication et commercialisation (avec ou sans intégration à un système en interne).","{""Type d'organisme"": 'PME', 'Date de création': '2010', 'Thématiques': 'Logiciel,                                                                             Microélectronique,                                                                             Quantique', 'Marchés': 'Chimie Environnement,                                                                             Défense,                                                                             Energie Bâtiment,                                                                             Industrie du futur,                                                                             Mobilité,                                                                             NewSpace', ""Date d'adhésion"": '31/05/2013'}","{'Adresse': '2 Rue des Murailles\n                                                                                                                                                    38170\n                                                                                                                SEYSSINET-PARISET', 'Contact': 'TANCHON Julien                                        Directeur'}"
https://www.minalogic.com/annuaire/jessica-france/,https://www.minalogic.com/wp-content/uploads/2020/07/minalogic-member-fr-captronic-0-333x250.png,Jessica France,"Fondée par le CEA et OSEO, et financée par le Ministère chargé de l'Industrie, l'association JESSICA France est chargée de la mise en oeuvre du programme CAP'TRONIC. Celui-ci a pour objectif d'aider les PME françaises, quel que soit leur secteur d'activité, à améliorer leur compétitivité grâce à la mise en oeuvre de nouvelles solutions électroniques dans leurs produits.","{""Type d'organisme"": 'Organisme de développement économique', 'Date de création': '1991', 'Thématiques': 'Cybersécurité,                                                                             IA,                                                                             Logiciel,                                                                             Microélectronique,                                                                             Photonique', 'Marchés': 'Non applicable', ""Date d'adhésion"": '02/02/2009'}","{'Adresse': '17 rue des Martyrs\n                                                                                                                                                    38054\n                                                                                                                GRENOBLE CEDEX 9', 'Contact': 'MALICET Jean-Philippe                                        Directeur national'}"
https://www.minalogic.com/annuaire/arnano/,https://www.minalogic.com/wp-content/uploads/2020/07/minalogic-member-fr-arnano-0.gif,Arnano,"Conception, fabrication et vente de gravures microscopiques sur des substrats de toute nature (saphir, verre, quartz, silicium…) et de toute taille de 10 à 150 mm.
Maitrise des technologie microélectroniques de lithographie et notamment lithographie sans masque avec une résolution de 1 µm, de dépôts de couches minces Cr, Al, Au, Pt, TiN… , de gravure chimique et plasma de ces couches ainsi que de gravure profonde (Jusqu’à 300 µm) de matériaux durs (Saphir, verre…)
Fourniture de composants horlogers en série et personnalisés (phases de lune, fonds de boitiers, cadrans, platines)
Fourniture de disques d’archivage de données en saphir pour l’évènementiel, le commémoratif, la culture, l’art...
Prestations de service pour la fabrication de MOEMS","{""Type d'organisme"": 'PME', 'Date de création': '2009', 'Thématiques': 'Logiciel,                                                                             Microélectronique,                                                                             Photonique', 'Marchés': 'Industrie du futur', ""Date d'adhésion"": '07/09/2009'}","{'Adresse': '235 rue de Corporat\n                                                                                                                                                    38430\n                                                                                                                MOIRANS', 'Contact': 'REY Alain                                        DIRECTEUR GENERAL'}"
